day,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence
0.0,0.663480841407,0.673579629601739,0.8065540711571089,0.10497828653343452,0.17467992031792748,0.009481879306396886,0.5143112887445618
1.0,0.6588712141049141,0.6606573590172248,0.8065983693139461,0.1036501812969053,0.1882338808973242,0.008024729906950603,0.48937321759403823
2.0,0.6576328881906258,0.6610188211314768,0.8080878593913491,0.10459355763555107,0.18944012332702684,0.008035138116946648,0.4832635983263598
3.0,0.65650912106136,0.6611041663528975,0.8082216944402045,0.1042351800320432,0.19171746899306286,0.008035138116946648,0.48434605216594845
4.0,0.6559035960548136,0.6605268310315224,0.8083944398173649,0.10511004300531243,0.1896703604712854,0.008035138116946648,0.48375278419617396
5.0,0.6583802478833899,0.6552404476105849,0.8039116818641341,0.10552112319757147,0.1930438351502047,0.008508711671766688,0.48656300089510607
6.0,0.6613042244915772,0.6535134619536023,0.8052254678143298,0.10373977569778228,0.1959768561618467,0.008050750431940715,0.4867555527800329
7.0,0.6569455354804922,0.6494369725539808,0.8048625411736339,0.10209545492874611,0.2018028569426509,0.008050750431940715,0.4806667499323466
8.0,0.6592421663611766,0.651635867082348,0.8030584834276815,0.10317058773926978,0.20032633612620998,0.008024729906950603,0.4845542163658694
9.0,0.6613369555730122,0.6528357204893795,0.803959796117235,0.10376612699215786,0.19436019099672658,0.008836570286642103,0.4869168800349715
10.0,0.66231888801606,0.6535034213393176,0.8040594811071365,0.1051943671473143,0.19333913931349286,0.008836570286642103,0.48880076604425565
11.0,0.6587784760408484,0.6543518532463817,0.8047332548573274,0.1041772071844169,0.19654243871187319,0.008836570286642103,0.48247777847165846
12.0,0.6551180501003754,0.6545576858392197,0.802056830398917,0.10033518846445738,0.20131235172227394,0.01666354420366785,0.47581652407418973
13.0,0.6626516540106484,0.6616262782957061,0.8063296346192559,0.10165275318323638,0.18946514910357667,0.016346093798788482,0.4838620704011323
14.0,0.6598313258270052,0.6587948250673976,0.8071296073545124,0.10086748461084409,0.19100173178373725,0.009809737921272299,0.48234247174170986
15.0,0.6583584271624334,0.655255508532012,0.8044094887943564,0.10127856480310314,0.19518604162287156,0.009809737921272299,0.48292533150148836
16.0,0.6602895609670943,0.654085776967835,0.806199831212988,0.10007167552070158,0.19551638187332948,0.00976810508128812,0.4799485834426196
17.0,0.6615551627825783,0.6531771013750621,0.8064218757258614,0.1017318070663631,0.19514600038039176,0.009757696871292075,0.4778201044984284
18.0,0.6576056122894299,0.658659276774553,0.8064405600941491,0.10102032211822246,0.1880336746849255,0.010350964841066632,0.4775442869335331
19.0,0.6643645806057432,0.6581271242174597,0.807386888644815,0.10370815414453159,0.19322902589667357,0.010054330856179353,0.48710943191989836
20.0,0.6679704547438247,0.6581371648317444,0.8091550376729071,0.10371869466228183,0.19171246383775287,0.010611170090967756,0.48937321759403823
21.0,0.6607314305664659,0.6544723406177989,0.8056301294218104,0.09946032549118815,0.19593681491936693,0.010012698016195172,0.4820146131268345
22.0,0.658942131448023,0.6488194747754666,0.8020718052688979,0.09925478539505862,0.19753345946324713,0.009971065176210995,0.4763109140490018
23.0,0.6611733001658375,0.6499139017325078,0.8040303222106452,0.0987224892486719,0.19911508854119742,0.009976269281209017,0.47858510793313763
24.0,0.6591985249192635,0.6499038611182232,0.8052332296941261,0.10059870140821318,0.20142747029440322,0.008966672911592664,0.47639938383396824
25.0,0.6592912629833289,0.6488546169254635,0.8033718579180574,0.09936546083143606,0.19899996996906813,0.008753304606673744,0.4757228501842253
26.0,0.6736547525530243,0.6633884061026853,0.8109803403502718,0.10311788515051862,0.18264312241608857,0.008748100501675722,0.4848820749807448
27.0,0.6724055162782577,0.6634637107098212,0.8121251941161245,0.10299139893751581,0.18649208684945492,0.008794937446657923,0.4957430421116176
28.0,0.6649100986296587,0.653367873046473,0.8077472464268253,0.10274896702926048,0.20281890347057469,0.008966672911592664,0.4897843418888819
29.0,0.661195120886794,0.6468213925327951,0.8048231469376106,0.09946559575006325,0.20783907424647385,0.013665979724806928,0.47655550698390886
30.0,0.6659902243170114,0.6506870290324362,0.8051051254952448,0.10055126907833714,0.19546132516491985,0.008748100501675722,0.4800266450175898
31.0,0.6652483198044863,0.6537443960821522,0.804718246805103,0.10141032127498105,0.1977837172287456,0.008753304606673744,0.483986968921085
32.0,0.6664375490966221,0.6543267517106696,0.8052104500839511,0.10164748292436125,0.19998598556513209,0.008753304606673744,0.48895688919419633
