Rank_group,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence
1.0,0.008606773839073692,-0.019664306103979724,0.04442195873760596,-0.22552698664214238,-0.19777904018123557,-0.10193448890241616,0.15001382787713774
2.0,0.12252699688063622,0.19019889582373328,0.09252392940806507,-0.10951593546335878,-0.2891785748616783,0.001139523660402316,0.08740909410568345
3.0,0.14937808069367192,0.2251117253300198,0.06596516328357334,-0.018240890678717685,-0.36275809370637513,-0.019556711577930493,0.04843700302767878
4.0,0.08907488607118358,0.19220211195000203,0.14380633574373872,-0.008312157234797215,-0.2754439062590089,-0.11332638770584423,0.1462756816020079
5.0,0.14527026071135163,0.14402901669629473,0.03875909915948013,0.1250782535428387,-0.23330285179026972,-0.1073620520577024,0.13789151773807418
6.0,0.06679289624701286,0.1489162852759386,0.04222124326407253,0.02604977117640126,-0.1938174428439759,0.07835777271953182,0.015161575761471343
7.0,0.0495470742822928,0.1868947998959495,0.13428823501234013,-0.0034726161119177875,-0.21932883586938498,-0.021151797142638214,0.06663681894260029
8.0,0.09633314775988318,0.08433580515783973,0.11475751850397786,0.025989561385716023,-0.20053128197619213,-0.02355702810706967,0.0716449948816695
9.0,0.13156660538397705,0.12953491692781413,0.13416134356240106,0.061431418622773126,-0.23988514916191328,-0.0729119983112352,0.07084947967164673
10.0,0.1366919210935011,0.11631692341320438,0.006391327382364497,0.09429492607116437,-0.23607627254244065,-0.049775693961151564,0.09450384933615945
11.0,0.1254090930877164,0.11766266618373054,0.07619079585266003,0.05204734717668175,-0.19260481267432172,-0.0790854390158899,0.048002753471739504
12.0,0.05156006613787942,0.1287682457298739,0.07482055669926746,0.07881700445142129,-0.1754522485566145,-0.06721003627860772,0.011296157322631522
13.0,0.029827992060531803,0.0846347543996309,0.0627392431504522,0.06701136966178098,-0.1704984044871983,-0.08093687077379041,-0.0024654321525990034
14.0,-0.003081253704718984,0.08861575930647772,0.031080951618816438,0.055563990976145096,-0.15942490395081,-0.06154585765934623,-0.026071997210044006
15.0,0.020596237045285837,0.08658185176158935,0.008261204967679488,0.10396082472933733,-0.18447044667734153,-0.038030161021352274,-0.02975256887251234
16.0,-0.03985898895955013,0.11910013704105812,0.03648960463095317,0.12159281802385173,-0.15594293885030738,-0.03553122440050962,-0.10364475149403138
17.0,-0.06980394746360215,0.16177464669138242,0.07988175164734312,0.020563600984915748,-0.23367098939061198,0.011695692164395775,-0.12950382399609783
18.0,-0.08470179835396187,0.11367987450446,0.008907114103737143,0.07258781239131701,-0.16272584927800732,0.041597616458193876,-0.18333046256400617
19.0,-0.11889206436087837,0.11635607449529303,0.061880844347651155,0.11787561338563349,-0.15651177717212883,-0.041445179314475736,-0.1888792048726109
20.0,-0.1589136609893166,0.14018705186148664,0.027255274193535288,0.14871159060394393,-0.15548159610251314,-0.03148691677114074,-0.17009970582097048
