Rank_group,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence
1.0,0.12378756716123948,-0.0017921803356741432,0.009063455423444007,-0.0725811790780074,-0.050535842847975,-0.04543597462602751,0.08139313776353552
2.0,0.09125938802749071,-0.010820359101895079,-0.001061280914854053,-0.03394960817474043,-0.0005561809593894467,0.01208934211258617,0.024886122709948978
3.0,0.03602274737821021,0.011135497671766,0.03561320815088672,-0.0013968808728623424,-0.04487343351672932,-0.041772583661635034,0.0015268050967282634
4.0,0.03822143482623031,0.022423473724466805,0.06377282434268942,0.003499307429846162,-0.023772327533937505,-0.04541155445031274,0.038361205619414494
5.0,0.06655813705497285,0.028721059902917165,0.04439735130978403,-0.016372092182882683,-0.041470746169503414,-0.04053412026178354,0.019284641006403435
6.0,0.06062528466423886,0.040284557637854,0.03371194667563083,0.004762994873817744,-0.0341931670300822,0.010663509277939041,0.021610869951684944
7.0,0.01632613673114369,0.008124206383618065,0.02506856129284422,-0.004607861830464354,-0.015536024655967135,-0.01665454571462354,0.0019502363091535827
8.0,0.01043945410390266,0.014980574085124742,0.05252295126770489,0.003992346978521667,-0.011424680250320401,-0.03029049719559399,0.027788917743807505
9.0,0.017930781841860685,0.012405180622841443,0.05864481393257474,0.004784260431291329,-0.0104445975706012,-0.03672118605932651,0.02619321857745006
10.0,0.008242732038412498,-0.002116800353559928,-0.008476265480294447,0.04026672481235348,-0.000600134088813291,0.005399251565581065,0.006442202865866982
11.0,-0.0009968802307232655,-0.008241024241672891,-0.006339031342047671,0.0487510157268226,0.01347433379620573,0.022813992998687815,-0.016228708326674397
12.0,0.0008195749249711213,0.0006951509729969159,-0.0008660697170429241,0.04410234612092043,0.023363331847052415,0.01538532530762843,-0.015108389303690654
13.0,-0.02293384260149873,-0.024523555679464175,-0.028679831862599474,0.022126165378822435,0.025243274165770994,0.02610536912866422,-0.021081113035597718
14.0,-0.035353552383941785,-0.012419216930302462,-0.027292739578222678,0.010838644662889118,0.022584948087176305,0.026100400135040922,-0.02549382754923872
15.0,-0.040633401997592085,-0.01647016611436058,-0.0462501425900694,0.006531922954974691,0.012476786361401985,0.019230734588131924,-0.017217502196073906
16.0,-0.04782094845429466,-0.007586761628854447,-0.04152461948717376,0.0017034295703479087,0.016630700006913135,0.030099286232069505,-0.02092716791752649
17.0,-0.05631370434970224,-0.00968107514442902,-0.02277844558601585,-0.007535668408790419,0.021598132898115432,0.023372048287051136,-0.028080675581231025
18.0,-0.08666138135222858,-0.013468773406242923,-0.06214207959505387,-0.024994515955742723,0.029226708249203988,0.0360182066308167,-0.04153670984369658
19.0,-0.0795641447174177,-0.031128498556966706,-0.04201761267470266,-0.010303703952540582,0.04160900471797791,0.018960714455117007,-0.03958228043143792
20.0,-0.0964100454558078,-0.00016846923149411395,-0.03384930999871666,-0.020036613761144288,0.025894756312830124,0.009296217780963326,-0.02257396656914479
