id,Date_earliest,Nationality_Summed_Points,Nationality_count,Summed_Points,artist_count,Points (Total),song_count,Artists,Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence
78Sw5GDo6AlGwTwanjXbGh,2022-10-23,175820.5,1,0.0,1,28003,177,d4vd,2023-05-29,0.574,0.469,-8209.0,0.025,0.534,0.0,0.288
3xYJScVfxByb61dYHTwiby,2023-05-26,196888.199999999,1,11734.0,1,726,4,Taylor Swift,2023-05-29,0.672,0.782,-6499.0,0.042,0.148,0.0,0.239
2mpoNBkngUEwnaKoBhZ0vl,2023-01-25,4788.0,2,0.0,2,43876,250,"Peso Pluma, Natanael Cano",2023-05-29,0.784,0.826,-6.34,0.054,0.097,0.0,0.893
26b3oVLrRUaaybJulow9kz,2023-01-11,189462.5,1,0.0,1,19512,139,Libianca,2023-05-29,0.573,0.422,-7621.0,0.068,0.551,0.0,0.693
4fYte8ZvTK14NEhAOZocBi,2023-02-15,190677.5,1,715.0,1,17205,104,OneRepublic,2023-05-29,0.697,0.802,-6412.0,0.046,0.099,0.0,0.822
1vYXt7VSjH9JIM5oRRo7vA,2023-05-26,38419.5,1,2082.0,1,677,4,Dua Lipa,2023-05-29,0.671,0.845,-4.93,0.048,0.021,0.0,0.775
0JmnkIqdlnUzPaf8sqBRs3,2023-03-03,6635.066666667,1,236.0,1,9146,78,Kali Uchis,2023-05-29,0.642,0.706,-6872.0,0.052,0.518,0.0,0.896
1DmW5Ep6ywYwxc2HMT5BG6,2023-03-12,4169.33333333,1,0.0,1,3367,21,Loreen,2023-05-29,0.545,0.779,-6235.0,0.075,0.243,0.0,0.303
7jtQIBanIiJOMS6RyCx6jZ,2021-04-08,25029.0,1,0.0,1,13399,176,Tom Odell,2023-05-29,0.442,0.538,-8.55,0.045,0.717,0.0,0.139
5odlY52u43F5BjByhxg7wg,2022-10-11,173845.5,1,301.0,1,30497,181,JVKE,2023-05-29,0.515,0.593,-4801.0,0.032,0.653,0.162,0.153
1Y3LN4zO1Edc2EluIoSPJN,2022-12-03,355693.0,2,142.0,2,59416,356,"Stephen Sanchez, Em Beihold",2023-05-29,0.551,0.55,-5339.0,0.029,0.777,0.0,0.342
7MXVkk9YMctZqd1Srtv4MB,2017-05-03,362.0,2,0.0,2,282,2,"The Weeknd, Daft Punk",2023-05-29,0.679,0.587,-7015.0,0.276,0.141,0.0,0.486
3Ua0m0YmEjrMi9XErKcNiR,2023-03-25,15686.0,1,59.0,1,11089,66,Jimin,2023-05-29,0.629,0.733,-5445.0,0.042,0.003,0.0,0.362
1lRtH4FszTrwwlK5gTSbXO,2023-01-06,7152.0,3,0.0,3,72147,432,"Natanael Cano, Peso Pluma, Gabito Ballesteros",2023-05-29,0.772,0.73,-6657.0,0.097,0.152,0.0,0.786
3AJwUDP919kvQ9QcozQPxg,2020-11-09,23589.0,1,789.0,1,4915,139,Coldplay,2023-05-29,0.429,0.661,-7227.0,0.028,0.002,0.0,0.285
2VzCjpKvPB1l1tqLndtAQa,2023-02-25,2418.0,1,8.0,1,12295,93,Peso Pluma,2023-05-29,0.807,0.595,-7.19,0.033,0.31,0.0,0.392
3tt9i3Hhzq84dPS8H7iSiJ,2023-03-17,6843.066666667,1,413.0,1,12325,74,Manuel Turizo,2023-05-29,0.835,0.679,-5329.0,0.036,0.583,0.0,0.85
0NZPBYD5qbEWRs3PrGiRkT,2023-01-27,46083.16666666,2,218.0,2,44306,246,"Sam Smith, Kim Petras",2023-05-29,0.712,0.463,-7399.0,0.08,0.011,0.0,0.206
4nrPB8O7Y7wsOCJdgXkthe,2023-01-12,7565.566666667,2,509.0,2,51228,276,"Bizarrap, Shakira",2023-05-29,0.778,0.632,-5.6,0.049,0.274,0.0,0.498
1u8c2t2Cy7UBoG4ArRcF5g,2017-06-09,7177.0,1,0.0,1,358,9,Taylor Swift,2023-05-29,0.76,0.703,-5412.0,0.054,0.103,0.0,0.57
1zsPaEkglFvxjAhrM8yhpr,2022-10-14,13605.599999999999,2,784.0,2,62534,362,"Ozuna, Feid",2023-05-29,0.901,0.589,-6713.0,0.289,0.003,0.0,0.399
4JdSXF2p71cr8uCY3UiJM0,2023-04-17,4874.0,2,580.0,2,11048,86,"Yahritza Y Su Esencia, Grupo Frontera",2023-05-29,0.605,0.726,-4515.0,0.031,0.365,0.0,0.393
4zmKGsrXjLmljb5fTaBTot,2023-05-26,393776.399999998,2,4010.0,2,1342,8,"Taylor Swift, Lana Del Rey",2023-05-29,0.664,0.401,-10934.0,0.034,0.806,0.0,0.315
0PB0O24JqAuNdOAFVJljMS,2023-03-17,18800.733333313998,2,3878.0,2,23854,148,"Eladio Carrion, Bad Bunny",2023-05-29,0.683,0.764,-5995.0,0.044,0.043,0.0,0.137
0VjIjW4GlUZAMYd2vXMi3b,2020-03-21,8931.0,1,973.0,1,35831,181,The Weeknd,2023-05-29,0.514,0.73,-5934.0,0.06,0.001,0.0,0.334
1mea3bSkSGXuIRvnydlB5b,2022-08-23,32303.0,1,953.0,1,12242,178,Coldplay,2023-05-29,0.486,0.617,-7115.0,0.029,0.095,0.0,0.417
561jH07mF1jHuk7KlaeF0s,2022-10-15,174300.5,1,2886.0,1,28795,181,Eminem,2023-05-29,0.637,0.678,-3798.0,0.266,0.209,0.0,0.254
4R2kfaDFhslZEMJqAFNpdd,2020-07-25,113892.0,1,3717.0,1,10248,90,Taylor Swift,2023-05-29,0.613,0.581,-8588.0,0.042,0.537,0.0,0.551
3BKD1PwArikchz2Zrlp1qi,2023-04-07,238905.0,3,132.0,3,15381,153,"David Guetta, Anne-Marie, Coi Leray",2023-05-29,0.602,0.91,-3404.0,0.031,0.001,0.0,0.228
3USxtqRwSYz57Ewm6wWRMp,2023-04-14,37676.5,1,196.0,1,5779,46,Glass Animals,2023-05-29,0.761,0.525,-6.9,0.094,0.44,0.0,0.531
2QjOHCTQ1Jl3zawyYOpxh6,2020-08-17,116019.0,1,0.0,1,17577,173,The Neighbourhood,2023-05-29,0.612,0.807,-2.81,0.034,0.05,0.018,0.398
2HbKqm4o0w5wEeEFXm2sD4,2020-08-13,231534.0,2,44.0,2,3468,92,"Kendrick Lamar, Jay Rock",2023-05-29,0.716,0.531,-7355.0,0.122,0.07,0.0,0.344
