id,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,song_count,artists_points,artists_songs_counted
5T7pVU8KMd7hpyqfWt0nhy,0.597,0.632,-5792.0,0.054,0.698,0.002,0.42,1,102.0,7.0
4uqh1AFQaNojpqgtQFgUPE,0.739,0.592,-7849.0,0.11,0.292,0.0,0.112,1,25.0,1.0
3jRTJfW2nvUM4eoZoihnfW,0.857,0.771,-6.41,0.158,0.192,0.0,0.898,1,25.0,1.0
1COYNecOxmnapvty8PVR4s,0.803,0.539,-7452.0,0.354,0.445,0.0,0.208,1,25.0,1.0
352ZjWTgxP3OOjsZYpv0kz,0.522,0.509,-8.75,0.036,0.846,0.0,0.309,1,25.0,1.0
6a3kNt1UlUOapDKmEr3JzZ,0.806,0.565,-8.96,0.113,0.47,0.0,0.311,3,697.0,21.0
6V1lWr7s8CO5VkxXe4hBtg,0.901,0.536,-9075.0,0.467,0.031,0.0,0.252,1,0.0,0.0
4aiIh5wCetSjn6IuU9QX1F,0.766,0.697,-6041.0,0.094,0.583,0.0,0.547,1,25.0,1.0
1RSBK5VWdjPjHEmRhAkS4Q,0.659,0.877,-5089.0,0.029,0.088,0.0,0.471,1,793.0,16.0
1tUF7dEhqmV2Z1pTsGAGnD,0.558,0.416,-9667.0,0.453,0.721,0.0,0.774,1,0.0,0.0
0jKtpN3rsW1831n2w6OfH9,0.799,0.655,-7629.0,0.312,0.192,0.0,0.361,1,25.0,1.0
6cXNliTOTb6IrU4YhyH10J,0.779,0.716,-7644.0,0.193,0.141,0.001,0.439,1,25.0,1.0
0Q1ZthgaRH9sLIHHDrzX4X,0.534,0.787,-6129.0,0.358,0.31,0.0,0.224,1,25.0,1.0
7D7EH7MGyNHWSkqrszerI1,0.862,0.72,-4048.0,0.038,0.487,0.0,0.965,90,39607.0,531.0
0hVXuCcriWRGvwMV1r5Yn9,0.798,0.676,-5041.0,0.044,0.09,0.0,0.843,185,25741.0,140.0
3SawmGBjjq8EOYZJV11cJm,0.47,0.709,-4563.0,0.03,0.001,0.001,0.247,7,38719.0,484.0
7BIy3EGQhg98CsRdKYHnJC,0.813,0.526,-4787.0,0.125,0.105,0.001,0.608,43,43161.0,508.0
3eZYOQO4UzKrUDYDghtnFw,0.698,0.708,-4943.0,0.045,0.025,0.0,0.322,14,114549.0,944.0
6ZuahEctZD6w75peme58hm,0.442,0.631,-5096.0,0.05,0.136,0.0,0.129,87,25865.0,269.0
53BHUFdQphHiZUUG3nx9zn,0.74,0.516,-6233.0,0.051,0.018,0.0,0.698,2,0.0,0.0
1nYzjrdVQ8RpF93M0jPFW7,0.679,0.61,-10936.0,0.031,0.585,0.0,0.554,35,0.0,0.0
5gEUDNQvoQjdjklrwPdGwD,0.761,0.296,-10.22,0.048,0.551,0.0,0.579,4,1841.0,78.0
26w9NTiE9NGjW1ZvIOd1So,0.883,0.6,-7188.0,0.37,0.114,0.0,0.691,77,58794.0,1173.0
0JP9xo3adEtGSdUEISiszL,0.921,0.537,-5723.0,0.08,0.556,0.004,0.711,185,49416.0,544.0
0DiWol3AO6WpXZgp0goxAV,0.613,0.697,-8618.0,0.133,0.019,0.0,0.476,7,0.0,0.0
3jjBPF4NDMCU51psU8JPpR,0.88,0.662,-5766.0,0.304,0.205,0.0,0.726,39,99765.0,820.0
0JAZWvvqttGFm4UMDsPQXC,0.734,0.775,-3855.0,0.061,0.186,0.001,0.72,171,46666.0,649.0
69Y5IZuBvGyzySFt5x7kCq,0.605,0.8,-3018.0,0.312,0.518,0.0,0.732,3,48196.0,492.0
7jXQUrVhEpXdymfFWNDnQW,0.663,0.783,-4585.0,0.039,0.013,0.002,0.622,1,33790.0,223.0
5ri4zqtWhG07hIuNNDWP76,0.806,0.513,-6208.0,0.069,0.217,0.0,0.503,38,30597.0,184.0
1FP9s72rDYty6mfoOEYKnE,0.504,0.76,-4246.0,0.043,0.286,0.0,0.64,60,1568.0,66.0
2cGxRwrMyEAp8dEbuZaVv6,0.775,0.585,-9516.0,0.027,0.042,0.619,0.518,3,39.0,1.0
0osvOdeD3YXZiWkT8MKolJ,0.749,0.674,-5128.0,0.037,0.021,0.0,0.711,19,70128.0,688.0
0DAQryfUiFZdWFo76RYBc8,0.806,0.565,-8.96,0.113,0.47,0.0,0.311,7,379.0,10.0
03B2SfXuvDh1m9F4tqrX07,0.557,0.457,-5372.0,0.034,0.428,0.0,0.328,35,0.0,0.0
3w1WjD2zJqjBjDz5fwqQPJ,0.792,0.793,-6185.0,0.084,0.087,0.0,0.775,69,28046.0,332.0
5W3cjX2J3tjhG8zb6u0qHn,0.817,0.716,-8898.0,0.144,0.043,0.003,0.692,2,39.0,1.0
19gEmPjfqSZT0ulDRfjl0m,0.794,0.51,-7314.0,0.42,0.051,0.0,0.18,1,0.0,0.0
1pKYYY0dkg23sQQXi0Q5zN,0.956,0.795,-5311.0,0.15,0.004,0.889,0.841,1,39.0,1.0
5UMMPHPp6vRP6ghPpSUOzp,0.793,0.65,-3944.0,0.397,0.371,0.0,0.809,5,0.0,0.0
69kOkLUCkxIZYexIgSG8rq,0.81,0.793,-9404.0,0.04,0.038,0.0,0.863,1,39.0,1.0
1NeLwFETswx8Fzxl2AFl91,0.875,0.475,-12673.0,0.099,0.44,0.72,0.384,1,39.0,1.0
0WSa1sucoNRcEeULlZVQXj,0.15,0.859,-2827.0,0.06,0.002,0.194,0.354,30,283.0,5.0
6Pgmqg15yVexuOgtzuxwoX,0.98,0.413,-11052.0,0.101,0.671,0.0,0.764,34,0.0,0.0
5GkQIP5mWPi4KZLLXeuFTT,0.789,0.742,-5664.0,0.065,0.068,0.0,0.661,30,45904.0,432.0
0A1hoCfMLkiAgvhWkkucJa,0.914,0.732,-6.1,0.241,0.017,0.0,0.469,89,13928.0,201.0
78SeXVRJ7KCqVmOwTiFjnI,0.65,0.655,-3.71,0.405,0.25,0.0,0.735,77,2956.0,95.0
2JTir3y1VuJQmexiTCMcTP,0.582,0.937,-2118.0,0.086,0.449,0.0,0.939,60,813.0,14.0
41BzKiCrKpUQHS3TP0jmdr,0.664,0.665,-3616.0,0.088,0.123,0.0,0.726,14,51370.0,528.0
7x4ASXYEKfQBCewcZhK776,0.718,0.712,-4366.0,0.174,0.512,0.001,0.531,184,20366.0,385.0
3rRin3LyLY92kpEbkCgwf4,0.599,0.914,-2415.0,0.063,0.5,0.0,0.831,19,1521.0,26.0
0GzuHFG4Ql6DoyxFRnIk3F,0.766,0.788,-3128.0,0.312,0.105,0.0,0.609,105,87553.0,683.0
2MlOUXmcofMackX3bxfSwi,0.88,0.483,-7012.0,0.051,0.019,0.0,0.827,84,0.0,0.0
0awuNCj9gwJEM0seER22DW,0.57,0.689,-6242.0,0.147,0.358,0.0,0.568,1,0.0,0.0
6rAGFY9D3ah6Lb7fUgbNNH,0.447,0.553,-4817.0,0.032,0.212,0.0,0.252,1,10337.0,95.0
2bzUVEvpZ7At5cYz1kOLI9,0.658,0.717,-4257.0,0.063,0.085,0.002,0.595,1,0.0,0.0
2uL48Qwc88pu7S9JjT6Jvv,0.734,0.472,-7782.0,0.04,0.32,0.0,0.235,1,114549.0,944.0
3QyoC6OvQUmpQwQZ18iaTs,0.568,0.788,-6.28,0.038,0.01,0.0,0.46,1,32912.0,243.0
7jjnn6K7p5MgOFuqLypAcM,0.527,0.79,-6268.0,0.079,0.016,0.0,0.236,1,139.0,2.0
3UoULw70kMsiVXxW0L3A33,0.487,0.534,-5664.0,0.056,0.36,0.0,0.173,103,48746.0,449.0
3Os1431WclqyKxWqMzRESE,0.639,0.544,-9.5,0.038,0.175,0.0,0.179,1,114549.0,944.0
6KIKaWKE9wV6mLjho3w61y,0.726,0.667,-5956.0,0.062,0.37,0.0,0.434,1,114549.0,944.0
62aP9fBQKYKxi7PDXwcUAS,0.674,0.774,-7567.0,0.089,0.069,0.002,0.33,185,0.0,0.0
5vGLcdRuSbUhD8ScwsGSdA,0.719,0.648,-7.6,0.125,0.2,0.0,0.66,105,696.0,12.0
3EPXxR3ImUwfayaurPi3cm,0.553,0.586,-6319.0,0.036,0.697,0.0,0.443,185,0.0,0.0
3GVkPk8mqxz0itaAriG1L7,0.734,0.57,-7066.0,0.133,0.847,0.0,0.689,124,0.0,0.0
4frLb7nWtsz2ymBE6k2GRP,0.659,0.291,-8275.0,0.035,0.405,0.0,0.406,8,57214.0,478.0
