Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Points (Total),id,Date_earliest,song_count,Points (Total)_grouped,date_difference,total_points,average_point,artist_count
2023-05-29,0.784,0.826,-6.34,0.054,0.097,0.0,0.893,167,2mpoNBkngUEwnaKoBhZ0vl,2023-01-25,125,21938,124 days,88687.499999983,12669.642857140429,2
2023-05-29,0.573,0.422,-7621.0,0.068,0.551,0.0,0.693,166,26b3oVLrRUaaybJulow9kz,2023-01-11,139,19512,138 days,19512.0,2787.428571428572,1
2023-05-29,0.697,0.802,-6412.0,0.046,0.099,0.0,0.822,165,4fYte8ZvTK14NEhAOZocBi,2023-02-15,104,17205,103 days,176411.0,25201.571428571428,1
2023-05-29,0.671,0.845,-4.93,0.048,0.021,0.0,0.775,164,1vYXt7VSjH9JIM5oRRo7vA,2023-05-26,4,677,3 days,670573.83333332,95796.26190476,1
2023-05-29,0.642,0.706,-6872.0,0.052,0.518,0.0,0.896,163,0JmnkIqdlnUzPaf8sqBRs3,2023-03-03,78,9146,87 days,51900.33333334,7414.333333334286,1
2023-05-29,0.545,0.779,-6235.0,0.075,0.243,0.0,0.303,162,1DmW5Ep6ywYwxc2HMT5BG6,2023-03-12,21,3367,78 days,3367.0,481.0,1
2023-05-29,0.442,0.538,-8.55,0.045,0.717,0.0,0.139,161,7jtQIBanIiJOMS6RyCx6jZ,2021-04-08,775,101089,781 days,101089.0,14441.285714285714,1
2023-05-29,0.515,0.593,-4801.0,0.032,0.653,0.162,0.153,160,5odlY52u43F5BjByhxg7wg,2022-10-11,231,38859,230 days,47305.4,6757.914285714286,1
2023-05-29,0.551,0.55,-5339.0,0.029,0.777,0.0,0.342,159,1Y3LN4zO1Edc2EluIoSPJN,2022-12-03,178,29708,177 days,89624.0,12803.428571428572,2
2023-05-29,0.679,0.587,-7015.0,0.276,0.141,0.0,0.486,158,7MXVkk9YMctZqd1Srtv4MB,2017-05-03,493,53377,2217 days,996959.33333333,142422.76190476143,2
2023-05-29,0.629,0.733,-5445.0,0.042,0.003,0.0,0.362,157,3Ua0m0YmEjrMi9XErKcNiR,2023-03-25,66,11089,65 days,26161.4,3737.342857142857,1
2023-05-29,0.772,0.73,-6657.0,0.097,0.152,0.0,0.786,156,1lRtH4FszTrwwlK5gTSbXO,2023-01-06,144,24049,143 days,97321.833333313,13903.119047616145,3
2023-05-29,0.429,0.661,-7227.0,0.028,0.002,0.0,0.285,155,3AJwUDP919kvQ9QcozQPxg,2020-11-09,881,67644,931 days,190048.0,27149.714285714286,1
2023-05-29,0.807,0.595,-7.19,0.033,0.31,0.0,0.392,154,2VzCjpKvPB1l1tqLndtAQa,2023-02-25,93,12295,93 days,62994.999999993,8999.285714284715,1
2023-05-29,0.835,0.679,-5329.0,0.036,0.583,0.0,0.85,153,3tt9i3Hhzq84dPS8H7iSiJ,2023-03-17,74,12325,73 days,157240.666666667,22462.95238095243,1
2023-05-29,0.712,0.463,-7399.0,0.08,0.011,0.0,0.206,152,0NZPBYD5qbEWRs3PrGiRkT,2023-01-27,123,22153,122 days,297938.0,42562.57142857143,2
2023-05-29,0.778,0.632,-5.6,0.049,0.274,0.0,0.498,151,4nrPB8O7Y7wsOCJdgXkthe,2023-01-12,138,25614,137 days,227987.0,32569.571428571428,2
2023-05-29,0.76,0.703,-5412.0,0.054,0.103,0.0,0.57,150,1u8c2t2Cy7UBoG4ArRcF5g,2017-06-09,550,34022,2180 days,632092.5,90298.92857142857,1
2023-05-29,0.901,0.589,-6713.0,0.289,0.003,0.0,0.399,149,1zsPaEkglFvxjAhrM8yhpr,2022-10-14,228,38746,227 days,587522.3333333309,83931.76190476157,2
2023-05-29,0.605,0.726,-4515.0,0.031,0.365,0.0,0.393,148,4JdSXF2p71cr8uCY3UiJM0,2023-04-17,43,5524,42 days,54332.5,7761.785714285715,2
2023-05-29,0.664,0.401,-10934.0,0.034,0.806,0.0,0.315,147,4zmKGsrXjLmljb5fTaBTot,2023-05-26,4,671,3 days,681815.5,97402.21428571428,2
2023-05-29,0.683,0.764,-5995.0,0.044,0.043,0.0,0.137,146,0PB0O24JqAuNdOAFVJljMS,2023-03-17,74,11927,73 days,1270127.666666687,181446.80952381244,2
2023-05-29,0.514,0.73,-5934.0,0.06,0.001,0.0,0.334,145,0VjIjW4GlUZAMYd2vXMi3b,2020-03-21,1165,198468,1164 days,922058.83333333,131722.69047619,1
