Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Points (Total),id,Date_earliest,song_count,Points (Total)_grouped,date_difference,total_points,average_point,artist_count
2021-12-25,0.681,0.474,-8623.0,0.042,0.621,0.0,0.7,35,1GpPsjjd4D1jsteGYpGGIN,2019-12-25,3,64,1251 days,7501.5,1071.642857142857,1
2021-12-25,0.24,0.124,-14542.0,0.031,0.959,0.024,0.113,28,6B14wYcEpWhyDvxWRb9Df8,2019-12-24,4,90,1252 days,80324.5,11474.92857142857,1
2021-12-25,0.208,0.184,-15.49,0.03,0.931,0.0,0.347,20,4r87anpJZfl5p6OsBZnrZs,2021-12-25,1,20,520 days,33853.0,4836.142857142857,1
2021-12-25,0.641,0.766,-5.31,0.037,0.011,0.0,0.551,14,30QRKfHBopZn6UNqqSJQ9O,2021-12-24,2,56,521 days,80324.5,11474.92857142857,1
2021-12-25,0.341,0.64,-4432.0,0.038,0.192,0.0,0.351,12,6Lh85Pe18pqvNdDoWgTVUC,2021-12-24,2,14,521 days,80324.5,11474.92857142857,1
2021-12-25,0.687,0.843,-1.18,0.194,0.05,0.0,0.638,5,3WrG9BpOPQWUus3FjA1Tny,2017-12-24,9,330,1982 days,330.0,47.142857142857146,1
2021-12-25,0.172,0.363,-11667.0,0.034,0.812,0.0,0.236,4,1sFWEpf1aPYN576LS1aa4Y,2019-12-24,3,49,1252 days,62899.66666667,8985.666666667143,1
2021-12-24,0.63,0.486,-9.59,0.026,0.756,0.0,0.409,149,370oYn3s5EKu7ziUpMQQTr,2021-12-11,5,409,534 days,409.0,58.42857142857143,1
2021-12-24,0.528,0.524,-5804.0,0.051,0.55,0.0,0.613,33,4buHBCFNm5WvttEDevaj9C,2019-12-24,3,94,1252 days,80324.5,11474.92857142857,1
2021-12-24,0.641,0.096,-12995.0,0.04,0.835,0.0,0.357,5,6DwnAl6l63e83dDgIzY8P4,2021-12-24,1,5,521 days,80324.5,11474.92857142857,1
2021-12-21,0.354,0.475,-9333.0,0.043,0.149,0.034,0.039,31,0QwKxajohg1rAMMmv1AWe1,2021-12-10,12,1240,535 days,524816.66666666,74973.80952380857,1
2021-12-19,0.765,0.625,-3599.0,0.055,0.584,0.001,0.262,65,3PwRuzdphgedcWVUOVYJ7I,2021-07-26,147,19299,672 days,291694.333333323,41670.619047617576,1
2021-12-19,0.78,0.719,-3613.0,0.051,0.302,0.0,0.336,142,5RwV8BvLfX5injfqYodke9,2021-06-25,178,31042,703 days,291694.333333323,41670.619047617576,1
2021-12-18,0.793,0.481,-9258.0,0.124,0.019,0.0,0.395,16,2lUDBd7JrgAMltcp6dcd7D,2021-12-17,2,75,528 days,119822.0,17117.428571428572,1
2021-12-18,0.617,0.696,-6257.0,0.095,0.181,0.0,0.714,1,60wMNCIWYZwbOywZXgfQ9P,2021-12-17,2,105,528 days,105.0,15.0,1
2021-12-17,0.681,0.522,-8.74,0.303,0.019,0.0,0.219,4,7FCDmAel69bzxRkOxbh2dB,2021-12-17,1,4,528 days,119822.0,17117.428571428572,1
2021-12-17,0.599,0.547,-7498.0,0.113,0.573,0.0,0.425,34,7M4fSXTAUQih72cf0FbMgA,2021-12-17,1,34,528 days,922075.83333333,131725.1190476186,2
2021-12-17,0.875,0.478,-10562.0,0.218,0.007,0.0,0.409,75,0qHPxjC83zQYcxe39xSShx,2021-12-17,1,75,528 days,119822.0,17117.428571428572,1
2021-12-16,0.464,0.682,-8541.0,0.033,0.077,0.832,0.455,26,6UjeFOCGYgMpBUtqKg1Je3,2021-12-05,11,560,540 days,2058.0,294.0,1
2021-12-16,0.703,0.68,-6118.0,0.043,0.017,0.0,0.536,8,6w8ZPYdnGajyfPddTWdthN,2021-11-19,26,3205,556 days,180642.0,25806.0,1
2021-12-16,0.575,0.619,-6663.0,0.322,0.021,0.0,0.296,49,5R4Yrc2j4jw1itr4hKcN26,2021-12-10,7,769,535 days,524816.66666666,74973.80952380857,1
2021-12-16,0.685,0.729,-8694.0,0.15,0.415,0.0,0.382,50,0v36cov6Z6aEV5ZgIlqZMk,2021-12-10,7,745,535 days,524816.66666666,74973.80952380857,1
2021-12-15,0.759,0.459,-5187.0,0.095,0.003,0.0,0.695,119,2bgTY4UwhfBYhGT4HUYStN,2021-06-08,191,30742,720 days,379629.499999977,54232.78571428243,1
2021-12-15,0.648,0.599,-8611.0,0.08,0.474,0.0,0.213,2,6HTJgY7iWWlVLSDHsfHePf,2021-12-03,9,563,542 days,3192.0,456.0,1
2021-12-15,0.702,0.741,-5.33,0.043,0.005,0.0,0.646,45,5eXBXreN3d1zdj6Sa8dS0u,2021-07-23,146,17686,675 days,379629.499999977,54232.78571428243,1
2021-12-14,0.62,0.495,-7251.0,0.053,0.016,0.0,0.122,37,38Vh0iUlilcvnBNWS4saSD,2021-12-10,5,433,535 days,524816.66666666,74973.80952380857,1
2021-12-14,0.437,0.565,-5596.0,0.047,0.697,0.0,0.306,1,6v0UJD4a2FtleHeSYVX02A,2021-11-19,24,2815,556 days,180642.0,25806.0,1
2021-12-14,0.77,0.859,-4526.0,0.043,0.468,0.003,0.548,25,39yyHtQ4tkjZzd8TfIBKQw,2021-12-09,5,274,536 days,76701.0,10957.285714285716,2
2021-12-14,0.693,0.715,-6108.0,0.049,0.004,0.0,0.323,31,59NTlSZN6G2eCs4jcf46C0,2021-12-10,5,403,535 days,524816.66666666,74973.80952380857,1
2021-12-14,0.724,0.748,-4335.0,0.072,0.001,0.0,0.118,56,2W1Aq2c6PUSHBC0golgHLK,2021-12-10,5,511,535 days,524816.66666666,74973.80952380857,1
2021-12-13,0.41,0.334,-6662.0,0.062,0.529,0.0,0.47,54,2FDFz5TuYlpP180AUicAcl,2021-12-13,1,54,532 days,157.0,22.428571428571427,1
2021-12-13,0.641,0.445,-7.94,0.12,0.625,0.0,0.053,50,7FAND3cHMvepHjpBp8gOZ9,2021-12-10,4,336,535 days,524816.66666666,74973.80952380857,1
2021-12-13,0.607,0.296,-9541.0,0.06,0.565,0.0,0.577,66,2PxGGRmj5yunYdNF2Ud2vm,2021-12-13,1,66,532 days,157.0,22.428571428571427,1
2021-12-13,0.73,0.341,-8521.0,0.058,0.654,0.0,0.822,37,6j5LtifAnuTjTYvml61yFZ,2021-12-13,1,37,532 days,157.0,22.428571428571427,1
2021-12-12,0.746,0.765,-4.41,0.099,0.011,0.0,0.737,104,4saklk6nie3yiGePpBwUoc,2020-11-20,388,61199,920 days,379629.499999977,54232.78571428243,1
2021-12-11,0.714,0.805,-3849.0,0.047,0.214,0.0,0.749,22,2CGbKCiVUTHxhIJtP6Gvdi,2021-12-11,1,22,534 days,291817.0,41688.142857142855,2
2021-12-11,0.619,0.622,-5874.0,0.046,0.094,0.0,0.194,4,2hA6oxAuJI94AydLWQ2qEU,2021-12-10,2,120,535 days,524816.66666666,74973.80952380857,1
2021-12-11,0.702,0.514,-6674.0,0.043,0.129,0.0,0.133,34,6U0vwOILZNn5O6w1IZ1Mzr,2021-12-10,2,153,535 days,524816.66666666,74973.80952380857,1
2021-12-11,0.706,0.59,-6403.0,0.062,0.114,0.0,0.462,35,1AtC4WzAiT2RoDEkGknqMT,2021-12-10,2,161,535 days,524816.66666666,74973.80952380857,1
2021-12-10,0.646,0.235,-19697.0,0.582,0.936,0.0,0.624,105,0WSTCrEsC2rsM8zavpfM5I,2021-12-10,1,105,535 days,524816.66666666,74973.80952380857,1
2021-12-10,0.559,0.42,-15124.0,0.888,0.852,0.0,0.799,69,1fw2lym3kCvhxbIs8UQGHk,2021-12-10,1,69,535 days,524816.66666666,74973.80952380857,1
2021-12-10,0.496,0.28,-13915.0,0.095,0.988,0.019,0.519,65,2pumRJcJLkPPejrEvwLAlu,2021-12-10,1,65,535 days,524816.66666666,74973.80952380857,1
2021-12-10,0.565,0.614,-7008.0,0.038,0.013,0.0,0.188,94,7soheVOGSiTE8boPNzDibi,2021-12-10,1,94,535 days,524816.66666666,74973.80952380857,1
2021-12-10,0.7,0.725,-5776.0,0.049,0.196,0.0,0.524,115,22mPEYsHFBwVwjmkwx2cHT,2021-12-10,1,115,535 days,524816.66666666,74973.80952380857,1
2021-12-09,0.74,0.501,-6339.0,0.059,0.019,0.0,0.119,23,7qM1BWAsZMTYh4BcYLb0uQ,2021-11-12,25,3095,563 days,524816.66666666,74973.80952380857,1
2021-12-09,0.486,0.871,-3642.0,0.258,0.617,0.0,0.663,1,4u06FbRh6FvV2FQZkouzCw,2021-08-20,93,7500,647 days,16314.0,2330.5714285714284,1
2021-12-09,0.882,0.662,-6382.0,0.242,0.012,0.0,0.57,6,62l3NSQPUxvcwwzKUmysrE,2021-12-03,6,134,542 days,101967.0,14566.714285714286,1
2021-12-09,0.687,0.645,-4761.0,0.04,0.051,0.0,0.424,148,5J6rTmMjF9DVIAF8G3M9n4,2021-12-03,7,1105,542 days,1066195.333333337,152313.61904761958,2
2021-12-08,0.436,0.655,-8.37,0.058,0.499,0.0,0.412,14,3YJJjQPAbDT7mGpX3WtQ9A,2020-12-26,220,28808,884 days,191285.5,27326.5,1
2021-12-08,0.39,0.499,-7778.0,0.038,0.632,0.0,0.34,1,3NqBxTOMCJ3zW9CIP51td4,2021-09-05,94,6892,631 days,14285.0,2040.7142857142856,2
2021-12-08,0.339,0.492,-10661.0,0.056,0.829,0.004,0.102,15,2DuPBbS5mIldXnh7Wum8Cy,2021-11-19,20,2497,556 days,180642.0,25806.0,1
2021-12-07,0.671,0.599,-6.18,0.041,0.066,0.0,0.448,1,1EQFOouqdKYdpbNoOHRVO2,2021-11-24,6,150,551 days,46350.0,6621.428571428572,1
2021-12-06,0.566,0.581,-5181.0,0.043,0.216,0.0,0.152,41,3QPBocWfIcOCdFFvmqn60F,2021-12-03,4,238,542 days,700758.16666667,100108.30952381,2
2021-12-04,0.292,0.626,-4.78,0.053,0.571,0.0,0.305,12,5Q0ZnQjk4lQpScX7ujswun,2021-09-25,6,127,611 days,16314.0,2330.5714285714284,1
2021-12-04,0.748,0.779,-6659.0,0.034,0.009,0.0,0.928,8,4knc1Fp3kbuq8bH2byOvLu,2021-10-14,51,5748,592 days,114657.0,16379.57142857143,2
2021-12-03,0.843,0.622,-6565.0,0.136,0.324,0.0,0.442,1,3u2NGFCIe5Ynxv8djbpVP8,2021-12-03,1,1,542 days,3192.0,456.0,1
2021-12-03,0.696,0.776,-6066.0,0.367,0.445,0.0,0.374,75,2WYpG3Kv1xRTqMSNXVOpAN,2021-12-03,1,75,542 days,3192.0,456.0,1
2021-12-03,0.657,0.643,-6661.0,0.043,0.482,0.0,0.394,5,3gAEAmxdP1GIjgQ3Zud2mE,2021-12-03,1,5,542 days,4404.0,629.1428571428571,2
2021-12-03,0.684,0.624,-7414.0,0.347,0.239,0.0,0.708,66,2QIBJFl8DJR1mDh9GwfZef,2021-12-03,1,66,542 days,101967.0,14566.714285714286,1
2021-12-03,0.658,0.634,-6068.0,0.043,0.01,0.0,0.302,2,1nahzW3kfMuwReTka28tH5,2021-03-19,201,23581,801 days,541378.666666677,77339.809523811,1
2021-12-03,0.902,0.439,-6601.0,0.352,0.081,0.0,0.102,94,1xYzN6PXSwoOChUJnq8eJU,2021-12-03,1,94,542 days,3192.0,456.0,1
2021-12-03,0.691,0.618,-6461.0,0.08,0.095,0.0,0.524,29,7xz5EOIoDcQvXBD7eynlLr,2021-12-03,1,29,542 days,2160.0,308.57142857142856,1
2021-12-03,0.506,0.553,-7751.0,0.385,0.645,0.0,0.329,69,0iPf1xVxV7rlbG4wn3ANFa,2021-12-03,1,69,542 days,3192.0,456.0,1
2021-12-03,0.391,0.674,-7872.0,0.409,0.11,0.0,0.141,82,4rhBWOjhizvPajnOhp7q5H,2021-12-03,1,82,542 days,3192.0,456.0,1
2021-12-03,0.632,0.72,-7163.0,0.345,0.148,0.0,0.165,18,4HvjAQ0ODJVwutBx08bGhG,2021-12-03,1,18,542 days,3192.0,456.0,1
2021-12-03,0.743,0.781,-6861.0,0.441,0.125,0.0,0.526,95,6ItXr7qOXzK6KlhTbUu6hp,2021-12-03,1,95,542 days,3192.0,456.0,1
2021-12-03,0.721,0.509,-9356.0,0.153,0.423,0.0,0.317,65,1O1EqgvgRyj1ejZPUxI0UX,2021-12-03,1,65,542 days,3192.0,456.0,1
2021-12-03,0.751,0.61,-8368.0,0.485,0.337,0.0,0.525,107,5S12Ds2RswM2ITC0u1J01f,2021-12-03,1,107,542 days,3192.0,456.0,1
2021-12-03,0.662,0.413,-7357.0,0.03,0.213,0.0,0.467,19,27OeeYzk6klgBh83TSvGMA,2020-11-06,328,45280,934 days,169816.0,24259.42857142857,1
2021-12-03,0.465,0.729,-6.93,0.237,0.007,0.0,0.606,40,4dZTNKRngStyYNueXCO2FR,2021-12-03,1,40,542 days,101967.0,14566.714285714286,1
2021-12-02,0.83,0.585,-6476.0,0.094,0.237,0.0,0.485,6,6Im9k8u9iIzKMrmV7BWtlF,2020-10-30,314,40616,941 days,683654.16666667,97664.88095238144,1
2021-12-02,0.8,0.837,-2807.0,0.049,0.004,0.003,0.702,33,6IPNp9PfaEqrzotY47TIWy,2021-10-22,42,4611,584 days,107948.0,15421.142857142857,1
2021-12-01,0.44,0.528,-7809.0,0.032,0.017,0.002,0.132,39,3nsfB1vus2qaloUdcBZvDu,2021-11-13,19,2393,562 days,632092.5,90298.92857142857,1
2021-12-01,0.756,0.713,-6917.0,0.102,0.523,0.0,0.59,29,09u787BYeYIGd2mFIJ505t,2021-11-19,13,1735,556 days,180642.0,25806.0,1
2021-12-01,0.508,0.378,-7158.0,0.047,0.516,0.0,0.161,21,2EBnvom1dTybtm75a3Xh1T,2021-11-12,20,1238,563 days,94297.0,13471.0,1
2021-12-01,0.331,0.341,-6057.0,0.031,0.528,0.0,0.152,11,0DuWDLjriRPjDRoPgaCslY,2021-10-10,52,4956,596 days,180642.0,25806.0,1
2021-12-01,0.307,0.884,-3825.0,0.081,0.068,0.001,0.314,44,4cHKd6qPMR1TMx55KHlida,2021-11-15,17,781,560 days,10991.0,1570.142857142857,1
2021-12-01,0.356,0.176,-8291.0,0.039,0.843,0.0,0.289,60,10ImcQk9tihY1EKMDIbvXJ,2021-11-19,13,1829,556 days,180642.0,25806.0,1
2021-12-01,0.376,0.595,-5936.0,0.05,0.303,0.0,0.265,17,6O5TrlFWTYvznd9fMC0VvU,2021-10-05,57,6204,601 days,180642.0,25806.0,1
2021-11-30,0.734,0.497,-9666.0,0.166,0.67,0.0,0.307,33,496vIKS2INz840xZaKncvR,2021-11-19,12,1442,556 days,180642.0,25806.0,1
2021-11-30,0.574,0.628,-8815.0,0.036,0.13,0.0,0.803,1,4jDmJ51x1o9NZB5Nxxc7gY,2021-10-13,30,813,593 days,813.0,116.14285714285714,1
2021-11-30,0.839,0.506,-6714.0,0.133,0.002,0.0,0.44,9,4R67rQNSbbsR4TdUVOIdez,2021-11-05,24,2816,570 days,508986.33333335,72712.33333333571,1
2021-11-30,0.366,0.364,-7814.0,0.043,0.858,0.0,0.459,39,6bGMSP3H9YqkmaLnaJTIoF,2021-11-19,12,1464,556 days,180642.0,25806.0,1
2021-11-30,0.606,0.377,-9455.0,0.028,0.817,0.0,0.446,2,01K4zKU104LyJ8gMb7227B,2021-11-12,16,1949,563 days,632092.5,90298.92857142857,1
2021-11-30,0.516,0.777,-4908.0,0.038,0.001,0.0,0.408,36,4OAuvHryIVv4kMDNSLuPt6,2021-11-12,19,2402,563 days,632092.5,90298.92857142857,1
2021-11-30,0.387,0.253,-8901.0,0.034,0.798,0.0,0.134,61,13CVSGLSFl4UxpDVR6u3dq,2021-11-19,12,1677,556 days,180642.0,25806.0,1
2021-11-30,0.811,0.588,-3161.0,0.046,0.128,0.0,0.553,20,2qEoAz0i6yEz5dPggABcLH,2021-11-09,21,863,566 days,179481.166666667,25640.166666666715,3
2021-11-29,0.391,0.715,-4516.0,0.05,0.167,0.0,0.473,18,4CkgMiMqZ5JzW9iYXSTMTL,2021-11-12,15,1865,563 days,632092.5,90298.92857142857,1
2021-11-29,0.422,0.34,-6577.0,0.035,0.877,0.0,0.223,5,1is8gU4RVcN4J8xItxWoOY,2021-08-20,92,9498,647 days,9532.0,1361.7142857142858,1
2021-11-29,0.269,0.591,-5.79,0.042,0.453,0.001,0.228,20,2j3GxEsbNYNeEzz86wDY4J,2021-11-19,11,1155,556 days,180642.0,25806.0,1
2021-11-29,0.594,0.37,-10561.0,0.173,0.749,0.0,0.329,34,2c6xRsQBv7pynuhYhWoHxo,2021-11-19,11,1310,556 days,180642.0,25806.0,1
2021-11-27,0.738,0.579,-5.88,0.045,0.399,0.0,0.531,26,4kELKaXaNP4EQR8Q8xNIID,2021-10-27,22,619,579 days,14987.0,2141.0,1
2021-11-27,0.822,0.736,-3969.0,0.15,0.157,0.001,0.679,4,704LUEih663hiE3CnyUrFW,2021-09-24,56,4370,612 days,300632.0,42947.42857142857,1
2021-11-26,0.668,0.816,-5648.0,0.037,0.056,0.0,0.5,27,0zqBZqm5czQ3A4EoSdKFHj,2021-11-26,1,27,549 days,49892.0,7127.428571428572,2
2021-11-26,0.794,0.78,-3373.0,0.075,0.007,0.0,0.628,5,0rRn3j1DLkhEI6XL52Gaie,2021-11-26,1,5,549 days,25904.0,3700.571428571429,1
2021-11-25,0.882,0.662,-6382.0,0.242,0.012,0.0,0.57,37,6RfhBNU1FPWTG7VESlfgOl,2021-11-12,14,1420,563 days,101967.0,14566.714285714286,1
2021-11-25,0.625,0.754,-4158.0,0.076,0.17,0.0,0.746,44,3fHEwAssCgM4wJYdjT5Ch0,2021-11-19,7,466,556 days,434504.666666649,62072.09523809272,3
2021-11-24,0.584,0.557,-6371.0,0.034,0.013,0.0,0.767,31,6AtZLIzUINvExIUy4QhdjP,2021-11-13,12,1395,562 days,632092.5,90298.92857142857,1
2021-11-24,0.61,0.488,-6918.0,0.029,0.817,0.0,0.443,24,4IQkfUsrwXol38VV3U7t7T,2021-11-12,13,1518,563 days,632092.5,90298.92857142857,1
2021-11-23,0.726,0.828,-5191.0,0.071,0.105,0.0,0.307,31,2VyZWWKamfq7kVnh5gMgPd,2021-11-19,5,326,556 days,1842.0,263.1428571428572,1
2021-11-23,0.622,0.791,-6106.0,0.054,0.002,0.0,0.494,4,3z6XUommYDWPHeFhmhhT6j,2021-11-12,11,1160,563 days,632092.5,90298.92857142857,1
2021-11-23,0.594,0.713,-5314.0,0.05,0.0,0.0,0.328,9,6lzc0Al0zfZOIFsFvBS1ki,2021-11-13,11,1124,562 days,632092.5,90298.92857142857,1
2021-11-22,0.642,0.695,-5.62,0.028,0.0,0.0,0.642,23,3yII7UwgLF6K5zW3xad3MP,2021-11-13,10,1095,562 days,632092.5,90298.92857142857,1
2021-11-22,0.317,0.172,-10636.0,0.033,0.907,0.0,0.096,7,273QnyCvJB65rScHJ1nPZb,2021-10-15,11,605,591 days,180642.0,25806.0,1
2021-11-20,0.828,0.724,-3555.0,0.072,0.042,0.0,0.896,20,4vv8wcnT04GHHbUCFBAiHF,2021-11-06,3,40,569 days,40.0,5.714285714285714,1
2021-11-20,0.57,0.455,-5748.0,0.1,0.441,0.001,0.399,32,4bF2y8rR7GUjrd5LNEvej3,2021-07-22,113,14873,676 days,16323.0,2331.8571428571427,1
2021-11-20,0.662,0.788,-4.55,0.205,0.019,0.0,0.711,1,7iqOIHHEmu6Vhw25GgQ2eA,2021-09-10,65,6251,626 days,705926.761904767,100846.68027210956,2
2021-11-20,0.567,0.686,-6139.0,0.175,0.032,0.0,0.716,3,5YqltLsjdqFtvqE7Nrysvs,2021-11-13,8,944,562 days,632092.5,90298.92857142857,1
2021-11-19,0.473,0.579,-5824.0,0.038,0.214,0.0,0.255,13,4OmFmE0fzcMG6g0Y8p4eSD,2021-11-13,7,825,562 days,632092.5,90298.92857142857,1
2021-11-19,0.546,0.796,-5751.0,0.357,0.423,0.0,0.528,39,09FMFnWC5RYkvvvsjOus9B,2021-11-19,1,39,556 days,1842.0,263.1428571428572,1
2021-11-19,0.725,0.713,-5958.0,0.048,0.224,0.0,0.392,78,3HYK8FMGNQu1Whl8DdtsRC,2021-11-19,1,78,556 days,1842.0,263.1428571428572,1
2021-11-19,0.834,0.693,-8281.0,0.294,0.022,0.0,0.358,44,17gkoi8EGPO1XssTOYK5ki,2021-11-19,1,44,556 days,409.0,58.42857142857143,1
2021-11-19,0.727,0.698,-9676.0,0.365,0.57,0.0,0.356,43,7fI5RJec8R3jJ95pljZnkN,2021-11-19,1,43,556 days,1842.0,263.1428571428572,1
2021-11-19,0.733,0.595,-7.17,0.04,0.408,0.0,0.309,86,1U4dpTSsugnH510JzzCykV,2021-11-19,1,86,556 days,1842.0,263.1428571428572,1
2021-11-19,0.832,0.54,-8667.0,0.397,0.36,0.0,0.84,68,0w6lsLBvhtGcqMYA7MB7r6,2021-11-19,1,68,556 days,409.0,58.42857142857143,1
2021-11-19,0.614,0.464,-8473.0,0.08,0.485,0.0,0.293,14,5xJNgaimelFOPWnK9U4IUO,2021-11-19,1,14,556 days,1849.0,264.1428571428572,2
2021-11-19,0.502,0.714,-6668.0,0.257,0.138,0.0,0.305,21,2yBb1CRq98SSWRuDSn36SZ,2021-11-15,3,171,560 days,134171.0,19167.28571428572,1
2021-11-19,0.635,0.758,-8079.0,0.153,0.067,0.0,0.291,90,4c3TC1eWvz6BgOqSlOAKdT,2021-11-19,1,90,556 days,409.0,58.42857142857143,1
2021-11-19,0.57,0.606,-6731.0,0.193,0.408,0.0,0.536,99,0A85tPJ5uRYudixySOsfIV,2021-11-19,1,99,556 days,1842.0,263.1428571428572,1
2021-11-19,0.736,0.736,-7597.0,0.064,0.136,0.0,0.333,74,1oMZnVIuo6GmUNnemu8sLu,2021-11-19,1,74,556 days,1842.0,263.1428571428572,1
2021-11-19,0.55,0.639,-6387.0,0.216,0.314,0.0,0.169,82,5uMhO2tMkDsReokIzL1V3G,2021-11-19,1,82,556 days,1842.0,263.1428571428572,1
2021-11-19,0.76,0.647,-7773.0,0.25,0.092,0.0,0.303,61,3Z8gDycWX48tv06vVRMQtg,2021-11-19,1,61,556 days,409.0,58.42857142857143,1
2021-11-19,0.678,0.733,-5025.0,0.028,0.001,0.0,0.581,54,6pYNq0ZwpPVazKzsqpf0G8,2021-11-12,8,1003,563 days,632092.5,90298.92857142857,1
2021-11-19,0.645,0.593,-6506.0,0.029,0.034,0.0,0.299,34,3S7HNKPakdwNEBFIVTL6dZ,2021-11-13,7,890,562 days,632092.5,90298.92857142857,1
2021-11-18,0.585,0.286,-10123.0,0.031,0.838,0.0,0.189,157,1n3b9Eekoy3S9ZSZ5DmTW1,2021-11-18,1,157,557 days,632092.5,90298.92857142857,1
2021-11-18,0.584,0.743,-7075.0,0.093,0.054,0.0,0.746,56,0v4z1tuZvn6LGknom9Qx7d,2021-11-12,7,852,563 days,632092.5,90298.92857142857,1
2021-11-18,0.482,0.548,-9946.0,0.037,0.036,0.0,0.346,33,21afd9hCjpQ6lE5DPbcPHP,2021-11-12,7,622,563 days,287276.00000003004,41039.42857143286,3
2021-11-18,0.604,0.366,-7519.0,0.028,0.578,0.0,0.13,200,0gplL1WMoJ6iYaPgMCL0gX,2021-10-14,36,7053,592 days,180642.0,25806.0,1
2021-11-18,0.498,0.61,-5098.0,0.036,0.271,0.0,0.474,63,7qEUFOVcxRI19tbT68JcYK,2021-11-13,6,730,562 days,632092.5,90298.92857142857,1
2021-11-18,0.298,0.38,-8426.0,0.029,0.778,0.0,0.152,53,4pvb0WLRcMtbPGmtejJJ6y,2020-07-24,78,8027,1039 days,632092.5,90298.92857142857,1
2021-11-18,0.611,0.552,-5828.0,0.031,0.256,0.0,0.41,58,3oGVx9RBmiYGv5ZCecWLkx,2021-11-13,6,644,562 days,632092.5,90298.92857142857,1
2021-11-18,0.767,0.438,-8726.0,0.29,0.181,0.0,0.381,25,37Nqx7iavZpotJSDXZWbJ3,2021-09-03,75,10133,633 days,863037.6666667011,123291.09523810016,1
2021-11-18,0.622,0.809,-5623.0,0.064,0.029,0.002,0.511,13,7J4b3LVCIGO4CMBDFLPoP6,2021-11-13,6,590,562 days,632092.5,90298.92857142857,1
2021-11-18,0.511,0.559,-6587.0,0.026,0.017,0.0,0.248,69,2r9CbjYgFhtAmcFv1cSquB,2021-11-12,7,949,563 days,632092.5,90298.92857142857,1
2021-11-18,0.806,0.653,-6283.0,0.09,0.028,0.001,0.85,11,7uQZVznj0uQOGC9KhV2Mg6,2021-09-10,70,9516,626 days,42330.0,6047.142857142857,1
2021-11-18,0.635,0.758,-8079.0,0.153,0.067,0.0,0.291,39,5BBs3RhjLk4PB3LMz6k6AW,2021-11-18,1,39,557 days,409.0,58.42857142857143,1
2021-11-18,0.786,0.858,-3.74,0.068,0.049,0.0,0.649,2,2J0TRU2EDG29qlmxdGa4xa,2021-11-15,4,59,560 days,29715.0,4245.0,1
2021-11-18,0.708,0.598,-8365.0,0.029,0.037,0.0,0.698,35,71l8BEtJPXXlWbV6hhTHWK,2021-11-12,7,608,563 days,287276.00000003004,41039.42857143286,3
2021-11-18,0.693,0.681,-7039.0,0.025,0.085,0.0,0.663,42,7eQj6r5PIdYKEIZjucBMcq,2021-11-13,6,677,562 days,632092.5,90298.92857142857,1
2021-11-18,0.502,0.534,-5954.0,0.028,0.04,0.0,0.155,62,0y6kdSRCVQhSsHSpWvTUm7,2021-11-12,7,887,563 days,632092.5,90298.92857142857,1
2021-11-17,0.519,0.527,-7673.0,0.027,0.075,0.0,0.267,63,05GsNucq8Bngd9fnd4fRa0,2021-11-12,6,733,563 days,632092.5,90298.92857142857,1
2021-11-17,0.46,0.632,-6031.0,0.03,0.016,0.0,0.399,53,4pNApnaUWAL2J4KO2eqokq,2021-11-12,6,664,563 days,632092.5,90298.92857142857,1
2021-11-17,0.601,0.406,-11827.0,0.028,0.622,0.0,0.232,35,73qMN9bXy7MSPwwGfH3wQr,2021-11-13,5,486,562 days,632092.5,90298.92857142857,1
2021-11-17,0.859,0.525,-8051.0,0.059,0.434,0.0,0.312,183,15HMh4yxdf4wyxSZSlOgGZ,2021-11-01,17,2651,574 days,63276.00000002,9039.428571431428,3
2021-11-17,0.628,0.685,-5864.0,0.036,0.003,0.0,0.605,27,7A2cNLRT0YJc1yjxHlKihs,2021-11-13,5,456,562 days,632092.5,90298.92857142857,1
2021-11-17,0.686,0.571,-7138.0,0.05,0.066,0.0,0.538,42,4e5ayHsOLJNLTGfjau2mEw,2021-11-12,6,661,563 days,632092.5,90298.92857142857,1
2021-11-17,0.636,0.402,-7855.0,0.031,0.049,0.0,0.208,43,0NRHj8hDwwmSPaA41o379r,2021-11-12,6,637,563 days,632092.5,90298.92857142857,1
2021-11-17,0.715,0.799,-6447.0,0.043,0.014,0.004,0.916,13,5wKDPtbdggE1roeVp3UdXX,2021-11-17,1,13,558 days,12.0,1.714285714285714,4
2021-11-16,0.651,0.703,-8958.0,0.082,0.03,0.0,0.647,48,6jGAh1bFnXt1Muj9zeHveZ,2021-11-12,5,453,563 days,287276.00000003004,41039.42857143286,3
2021-11-16,0.783,0.627,-8521.0,0.102,0.008,0.0,0.48,51,7HEWQj82REyDOKMAAlB9pc,2021-11-12,5,469,563 days,287276.00000003004,41039.42857143286,3
2021-11-16,0.634,0.63,-6393.0,0.058,0.037,0.0,0.423,6,3iXI6ZaNBoL2dNv9K7LBh3,2021-11-16,1,6,559 days,20080.0,2868.5714285714284,2
2021-11-16,0.691,0.736,-6974.0,0.033,0.01,0.0,0.612,55,0DMVrlMUn01M0IcpDbwgu7,2021-11-12,5,503,563 days,632092.5,90298.92857142857,1
2021-11-16,0.548,0.627,-8949.0,0.041,0.047,0.0,0.493,15,5U4laaEEChW8FOtZXCu8C7,2021-11-12,5,348,563 days,287276.00000003004,41039.42857143286,3
