Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,id,Date_earliest,song_count,newer_date_count_diff_id,ratio
2023-05-29,-0.22322430484348604,0.6805552531851955,0.04295655000345234,-0.7945555728047274,1.0936075028145835,-0.1397406214019026,1.388250903975466,3qQbCzHBycnDpGskqOWY0E,2023-04-28,32,6169,0.00516045799064667
2023-05-29,-0.34335682179238725,0.9503332552883311,0.45835742870651597,-0.5054219525740449,-0.3801035215054134,11.354197682064127,-1.2912026653825308,7ro0hRteUMfnOioTFI5TG1,2023-05-19,11,1990,0.005497251374312844
2023-05-29,0.857968347696624,-1.111541475071347,-0.13727788483573344,2.3033046439525866,-0.07669242826306104,-0.1397406214019026,0.16016801801971775,2UW7JaomAMuX9pZrjVpHAU,2023-03-18,73,14359,0.0050582039911308205
2023-05-29,0.6402281607267405,-0.38571018369862564,-1.090150773407843,-0.7945555728047274,0.8855541817341134,-0.1397406214019026,0.9059492614910265,7FbrGaHYVDmfr7KoLIZnQ7,2023-04-01,59,11563,0.005076578902082258
2023-05-29,-0.9665442534648123,0.4621635371969428,0.4378925625992777,-0.6499887626893862,-0.011675765425414063,-0.1397406214019026,0.17356528586650774,6pD0ufEQq0xdHSsRbg9LBK,2023-04-17,43,8366,0.005113568795338328
2023-05-29,0.06959870521945981,0.18596224932944752,0.3484934106571318,-0.44346474823889853,-0.7268590566395302,-0.1397406214019026,0.5486887855766271,4DHcnVTT87F0zZhRPYmZ3B,2023-03-10,81,15950,0.005052710373651051
2023-05-29,-1.4245494743324973,-1.426282477525005,-1.500525193768778,-0.7842293720822031,2.5976596364588156,-0.1397406214019026,-0.8892846299788312,1odExI7RdWc4BT515LTAwj,2023-04-14,46,8964,0.005105438401775805
2023-05-29,-0.4034230802668379,0.5328196806049069,-0.1620511438076534,-0.7325983684695812,-0.7745379427204714,2.4916220426666316,-0.4695035707794118,1Qrg8KqiBpW07V7PNxwwwL,2022-12-09,172,34161,0.005009757376285207
2023-05-29,-1.3344500866208213,0.5071265375474654,-0.01520675366975104,-0.5570529561866667,0.4824508721407026,-0.12146726956809334,0.6201408807595071,4Dvkj6JhhA12EX05fT7y2e,2022-05-20,375,74948,0.0049785590058813375
2023-05-29,0.16720637524044205,-0.14162532465293148,0.6278208813839974,1.7250374034912213,1.9171518987581113,-0.1397406214019026,0.3745243035683572,0DWdj2oZMBFSzRsi2Cvfzf,2023-02-24,95,18725,0.005047821466524973
2023-05-29,1.2108576162340206,0.038226676749158944,1.8995902388176873,0.5065457182333444,-0.37143463312706043,-0.1397406214019026,0.6647984402488071,6XSqqQIy7Lm7SnwxS4NrGx,2023-03-31,60,11763,0.005074854097944684
2023-05-29,0.6627530076546595,1.29076740079943,0.1223027852613409,-0.5260743540190936,0.18337422308752674,-0.1397406214019026,1.9643334213874353,368eeEO3Y2uZUQ6S5oIjcu,2023-05-19,11,1990,0.005497251374312844
2023-05-29,-0.4559810564319821,-0.05812260971624664,-0.457894120515799,-0.5983577590767644,-0.4364512959647073,-0.1397406214019026,0.044058363347537786,0V3wPSX9ygBnCm8psDIegu,2022-10-21,221,43955,0.005002716407098877
2023-05-29,0.7603606776756417,0.9631798268170518,0.035775895228982786,-0.7532507699146299,0.8595475165990546,-0.12146726956809334,1.2855385171500764,1s7oOCT8vauUh01PbJD6ps,2023-04-28,32,6169,0.00516045799064667
