id,song_count,Summed_Points,artist_count,Points (Total),Artists,Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Nationality_Summed_Points,Nationality_count,Date_earliest
3xYJScVfxByb61dYHTwiby,,494.0,1,726,Taylor Swift,2023-05-29,0.672,0.782,-6499.0,0.042,0.148,0.0,0.239,19718.699999999,1,2023-05-26
2mpoNBkngUEwnaKoBhZ0vl,,0.0,2,43876,"Peso Pluma, Natanael Cano",2023-05-29,0.784,0.826,-6.34,0.054,0.097,0.0,0.893,1274.0,2,2023-01-25
26b3oVLrRUaaybJulow9kz,,0.0,1,19512,Libianca,2023-05-29,0.573,0.422,-7621.0,0.068,0.551,0.0,0.693,19104.0,1,2023-01-11
4fYte8ZvTK14NEhAOZocBi,,179.0,1,17205,OneRepublic,2023-05-29,0.697,0.802,-6412.0,0.046,0.099,0.0,0.822,18659.0,1,2023-02-15
1vYXt7VSjH9JIM5oRRo7vA,,24.0,1,677,Dua Lipa,2023-05-29,0.671,0.845,-4.93,0.048,0.021,0.0,0.775,4087.5,1,2023-05-26
0JmnkIqdlnUzPaf8sqBRs3,,9.0,1,9146,Kali Uchis,2023-05-29,0.642,0.706,-6872.0,0.052,0.518,0.0,0.896,938.666666667,1,2023-03-03
1DmW5Ep6ywYwxc2HMT5BG6,,0.0,1,3367,Loreen,2023-05-29,0.545,0.779,-6235.0,0.075,0.243,0.0,0.303,275.0,1,2023-03-12
7jtQIBanIiJOMS6RyCx6jZ,179.0,0.0,1,13399,Tom Odell,2023-05-29,0.442,0.538,-8.55,0.045,0.717,0.0,0.139,2366.0,1,2021-04-08
5odlY52u43F5BjByhxg7wg,,301.0,1,30497,JVKE,2023-05-29,0.515,0.593,-4801.0,0.032,0.653,0.162,0.153,9382.0,1,2022-10-11
1Y3LN4zO1Edc2EluIoSPJN,,0.0,2,59416,"Stephen Sanchez, Em Beihold",2023-05-29,0.551,0.55,-5339.0,0.029,0.777,0.0,0.342,19454.0,2,2022-12-03
7MXVkk9YMctZqd1Srtv4MB,,0.0,2,282,"The Weeknd, Daft Punk",2023-05-29,0.679,0.587,-7015.0,0.276,0.141,0.0,0.486,362.0,2,2017-05-03
3Ua0m0YmEjrMi9XErKcNiR,,58.0,1,11089,Jimin,2023-05-29,0.629,0.733,-5445.0,0.042,0.003,0.0,0.362,1937.0,1,2023-03-25
1lRtH4FszTrwwlK5gTSbXO,,0.0,3,72147,"Natanael Cano, Peso Pluma, Gabito Ballesteros",2023-05-29,0.772,0.73,-6657.0,0.097,0.152,0.0,0.786,1926.0,3,2023-01-06
3AJwUDP919kvQ9QcozQPxg,140.0,0.0,1,4915,Coldplay,2023-05-29,0.429,0.661,-7227.0,0.028,0.002,0.0,0.285,3979.0,1,2020-11-09
2VzCjpKvPB1l1tqLndtAQa,,8.0,1,12295,Peso Pluma,2023-05-29,0.807,0.595,-7.19,0.033,0.31,0.0,0.392,631.0,1,2023-02-25
3tt9i3Hhzq84dPS8H7iSiJ,,189.0,1,12325,Manuel Turizo,2023-05-29,0.835,0.679,-5329.0,0.036,0.583,0.0,0.85,888.666666667,1,2023-03-17
0NZPBYD5qbEWRs3PrGiRkT,,196.0,2,44306,"Sam Smith, Kim Petras",2023-05-29,0.712,0.463,-7399.0,0.08,0.011,0.0,0.206,5656.5,2,2023-01-27
4nrPB8O7Y7wsOCJdgXkthe,,35.0,2,51228,"Bizarrap, Shakira",2023-05-29,0.778,0.632,-5.6,0.049,0.274,0.0,0.498,633.1666666670001,2,2023-01-12
1u8c2t2Cy7UBoG4ArRcF5g,,0.0,1,358,Taylor Swift,2023-05-29,0.76,0.703,-5412.0,0.054,0.103,0.0,0.57,7177.0,1,2017-06-09
1zsPaEkglFvxjAhrM8yhpr,,518.0,2,62534,"Ozuna, Feid",2023-05-29,0.901,0.589,-6713.0,0.289,0.003,0.0,0.399,745.0,2,2022-10-14
4JdSXF2p71cr8uCY3UiJM0,,284.0,2,11048,"Yahritza Y Su Esencia, Grupo Frontera",2023-05-29,0.605,0.726,-4515.0,0.031,0.365,0.0,0.393,1002.0,2,2023-04-17
4zmKGsrXjLmljb5fTaBTot,,452.0,2,1342,"Taylor Swift, Lana Del Rey",2023-05-29,0.664,0.401,-10934.0,0.034,0.806,0.0,0.315,39437.399999998,2,2023-05-26
0PB0O24JqAuNdOAFVJljMS,,462.0,2,23854,"Eladio Carrion, Bad Bunny",2023-05-29,0.683,0.764,-5995.0,0.044,0.043,0.0,0.137,3554.3333333140004,2,2023-03-17
0VjIjW4GlUZAMYd2vXMi3b,185.0,619.0,1,35831,The Weeknd,2023-05-29,0.514,0.73,-5934.0,0.06,0.001,0.0,0.334,2009.0,1,2020-03-21
1mea3bSkSGXuIRvnydlB5b,182.0,0.0,1,12242,Coldplay,2023-05-29,0.486,0.617,-7115.0,0.029,0.095,0.0,0.417,1780.0,1,2022-08-23
561jH07mF1jHuk7KlaeF0s,183.0,44.0,1,28795,Eminem,2023-05-29,0.637,0.678,-3798.0,0.266,0.209,0.0,0.254,9795.0,1,2022-10-15
4R2kfaDFhslZEMJqAFNpdd,90.0,1165.0,1,10248,Taylor Swift,2023-05-29,0.613,0.581,-8588.0,0.042,0.537,0.0,0.551,15800.0,1,2020-07-25
3BKD1PwArikchz2Zrlp1qi,,132.0,3,15381,"David Guetta, Anne-Marie, Coi Leray",2023-05-29,0.602,0.91,-3404.0,0.031,0.001,0.0,0.228,26096.0,3,2023-04-07
3USxtqRwSYz57Ewm6wWRMp,,138.0,1,5779,Glass Animals,2023-05-29,0.761,0.525,-6.9,0.094,0.44,0.0,0.531,4086.5,1,2023-04-14
2QjOHCTQ1Jl3zawyYOpxh6,,0.0,1,17577,The Neighbourhood,2023-05-29,0.612,0.807,-2.81,0.034,0.05,0.018,0.398,16770.0,1,2020-08-17
2HbKqm4o0w5wEeEFXm2sD4,46.0,0.0,2,3468,"Kendrick Lamar, Jay Rock",2023-05-29,0.716,0.531,-7355.0,0.122,0.07,0.0,0.344,33436.0,2,2020-08-13
0ug5NqcwcFR2xrfTkc7k8e,,0.0,1,82,Taylor Swift,2023-05-29,0.588,0.791,-5595.0,0.04,0.002,0.003,0.487,7177.0,1,2017-06-09
4i6cwNY6oIUU2XZxPIw82Y,,210.0,2,1292,"Taylor Swift, Ice Spice",2023-05-29,0.615,0.616,-6523.0,0.062,0.062,0.0,0.073,20218.699999999,2,2023-05-26
26cvTWJq2E1QqN4jyH2OTU,,0.0,1,2811,Anggi Marito,2023-05-29,0.506,0.438,-7069.0,0.027,0.759,0.0,0.178,109.0,1,2023-04-30
2eAvDnpXP5W0cVtiI0PUxV,170.0,0.0,1,11930,Ruth B.,2023-05-29,0.609,0.692,-2958.0,0.026,0.016,0.0,0.454,2100.0,1,2021-08-03
5eTaQYBE1yrActixMAeLcZ,,0.0,3,20236,"Calvin Harris, Ellie Goulding",2023-05-29,0.636,0.869,-5289.0,0.041,0.038,0.045,0.306,18946.0,4,2023-03-10
2tTmW7RDtMQtBk7m2rYeSw,,6.0,2,70402,"Bizarrap, Quevedo",2023-05-29,0.621,0.782,-5548.0,0.044,0.013,0.033,0.55,709.0,2,2022-07-07
6Sq7ltF9Qa7SNFBsV5Cogx,185.0,0.0,2,70748,"Bad Bunny, Chencho Corleone",2023-05-29,0.911,0.712,-5105.0,0.082,0.09,0.0,0.425,2262.4,2,2022-05-06
4iZ4pt7kvcaH6Yo8UoZ4s2,162.0,132.0,1,22463,SZA,2023-05-29,0.559,0.551,-7231.0,0.132,0.141,0.0,0.392,11112.0,1,2022-12-09
0qCPD6ilr9nXkI4KVZgcns,,22.0,2,3914,"Eden Muñoz, Junior H",2023-05-29,0.703,0.429,-9076.0,0.031,0.783,0.0,0.416,1607.333333332,2,2023-05-14
3sqrvkNC6IPTIXvvbx9Arw,,1867.0,1,5320,Taylor Swift,2023-05-29,0.535,0.618,-3913.0,0.027,0.072,0.0,0.228,20312.0,1,2023-03-19
54ipXppHLA8U4yqpOFTUhr,185.0,311.0,1,26421,Imagine Dragons,2023-05-29,0.772,0.75,-3.67,0.046,0.02,0.0,0.587,9511.0,1,2022-07-01
7KokYm8cMIXCsGVmUvKtqf,57.0,80.0,1,7661,Taylor Swift,2023-05-29,0.642,0.62,-7091.0,0.067,0.073,0.0,0.097,9958.0,1,2022-10-21
65FftemJ1DbbZ45DUfHJXE,,0.0,1,24309,NewJeans,2023-05-29,0.804,0.771,-4067.0,0.043,0.357,0.0,0.739,2888.0,1,2023-01-02
5Odq8ohlgIbQKMZivbWkEo,174.0,4761.0,3,49401,"Charlie Puth, Jung Kook, BTS",2023-05-29,0.881,0.592,-4898.0,0.032,0.619,0.0,0.719,16717.0,3,2022-10-07
69CrOS7vEHIrhC2ILyEi0s,,0.0,1,9848,JISOO,2023-05-29,0.841,0.384,-7684.0,0.035,0.024,0.0,0.597,1958.0,1,2023-03-31
567e29TDzLwZwfDuEpGTwo,,746.0,2,36438,"The Kid LAROI, Justin Bieber",2023-05-29,0.591,0.764,-5484.0,0.048,0.038,0.0,0.478,3111.5,2,2023-01-20
3kf0WdFOalKWBkCCLJo4mA,,0.0,1,15132,Chino Pacas,2023-05-29,0.736,0.8,-5.38,0.053,0.179,0.0,0.961,18368.0,1,2023-02-12
5RcxRGvmYai7kpFSfxe5GY,,16.0,2,13864,"Becky G, Peso Pluma",2023-05-29,0.852,0.675,-5738.0,0.036,0.397,0.003,0.528,22074.0,2,2023-04-07
50x1Ic8CaXkYNvjmxe3WXy,,74.0,1,13511,New West,2023-05-29,0.593,0.352,-8296.0,0.028,0.695,0.0,0.226,2429.5,1,2023-01-06
5mHdCZtVyb4DcJw8799hZp,,192.0,2,37884,"RAYE, 070 Shake",2023-05-29,0.538,0.742,-5355.0,0.114,0.138,0.0,0.25,23494.5,2,2023-02-03
505v13epFXodT9fVAJ6h8k,,335.0,1,1005,KAROL G,2023-05-29,0.92,0.696,-3356.0,0.074,0.183,0.0,0.545,779.0,1,2023-05-19
6n2P81rPk2RTzwnNNgFOdb,,128.33333333299998,1,368,Peso Pluma,2023-05-29,0.782,0.812,-6613.0,0.047,0.567,0.0,0.7,830.666666666,1,2023-05-26
6TBzRwnX2oYd8aOrOuyK1p,,0.0,2,35672,"Oscar Maydon, Junior H",2023-05-29,0.699,0.541,-4943.0,0.083,0.063,0.0,0.365,666.0,2,2023-01-13
7mpdNiaQvygj2rHoxkzMfa,,0.0,1,1059,ENHYPEN,2023-05-29,0.795,0.781,-4647.0,0.141,0.285,0.0,0.687,2636.8,1,2023-05-22
7j4OmvkjRz0PrjFADlHfQx,36.0,0.0,1,2347,Adele,2023-05-29,0.603,0.67,-3882.0,0.025,0.004,0.0,0.446,1908.0,1,2021-10-11
2mnXxnrX5vCGolNkaFvVeM,,390.0,2,59320,"Arcángel, Bad Bunny",2023-05-29,0.887,0.234,-14.52,0.178,0.111,0.67,0.197,2556.333333314,2,2022-12-02
5w40ZYhbBMAlHYNDaVJIUu,,5.0,1,5720,Post Malone,2023-05-29,0.498,0.897,-4907.0,0.045,0.001,0.0,0.373,21270.0,1,2023-04-14
2CeKVsFFXG4QzA415QygGb,182.0,201.0,1,27653,Feid,2023-05-29,0.865,0.573,-5501.0,0.068,0.086,0.0,0.563,450.0,1,2022-09-14
1FEiijYPJtyswChfcpv3p0,164.0,86.0,1,10321,Lana Del Rey,2023-05-29,0.568,0.646,-6793.0,0.033,0.046,0.0,0.211,10208.0,1,2022-07-24
3p7XQpdt8Dr6oMXSvRZ9bg,,491.0,1,3333,Ed Sheeran,2023-05-29,0.793,0.52,-7457.0,0.07,0.246,0.0,0.309,3995.5,1,2023-05-05
0tgVpDi06FyKpA1z0VMD4v,,107.0,1,22335,Ed Sheeran,2023-05-29,0.599,0.448,-6312.0,0.023,0.163,0.0,0.168,609.0,1,2017-03-03
1xK59OXxi2TAAAbmZK0kBL,,0.0,1,28949,d4vd,2023-05-29,0.571,0.544,-10613.0,0.03,0.453,0.008,0.216,10438.0,1,2022-09-04
5IgjP7X4th6nMNDh4akUHb,185.0,21.0,1,32195,Chris Brown,2023-05-29,0.733,0.69,-5529.0,0.043,0.064,0.0,0.31,10208.0,1,2022-07-23
51FvjPEGKq2zByeeEQ43V9,,0.0,2,21162,"Marshmello, Manuel Turizo",2023-05-29,0.775,0.677,-4703.0,0.044,0.031,0.005,0.698,19335.666666667,2,2023-03-03
7sliFe6W30tPBPh6dvZsIH,,0.0,1,1809,Kali,2023-05-29,0.823,0.388,-10867.0,0.491,0.019,0.0,0.507,19259.333333333,1,2023-05-10
5O2P9iiztwhomNh8xkR9lJ,,0.0,1,84,One Direction,2023-05-29,0.672,0.52,-7747.0,0.035,0.859,0.0,0.37,2583.0,1,2020-07-23
0RiRZpuVRbi7oqRdSMwhQY,183.0,480.0,2,60438,"Post Malone, Swae Lee",2023-05-29,0.755,0.522,-4368.0,0.058,0.533,0.0,0.925,40066.0,2,2019-09-16
4uOBL4DDWWVx4RhYKlPbPC,,25.0,1,1164,(G)I-DLE,2023-05-29,0.815,0.834,-2828.0,0.048,0.033,0.0,0.692,2543.0,1,2023-05-16
5wG3HvLhF6Y5KTGlK0IW3J,,90.0,3,29526,"Metro Boomin, Travis Scott, Young Thug",2023-05-29,0.571,0.549,-7.38,0.404,0.18,0.0,0.447,28533.0,3,2022-12-02
5jQI2r1RdgtuT8S3iG8zFC,,80.0,1,22756,Taylor Swift,2023-05-29,0.733,0.436,-10489.0,0.08,0.258,0.001,0.098,9958.0,1,2022-10-21
68Dni7IE4VyPkTOH9mRWHr,,78.0,1,14500,J. Cole,2023-05-29,0.69,0.521,-8492.0,0.339,0.324,0.0,0.494,16641.5,1,2022-01-04
6Um358vY92UBv5DloTRX9L,154.0,512.0,2,41458,"Carin Leon, Grupo Frontera",2023-05-29,0.491,0.643,-4309.0,0.044,0.187,0.0,0.779,918.0,2,2022-12-27
6JIC3hbC28JZKZ8AlAqX8h,184.0,483.0,3,94758,"Elton John, Dua Lipa, PNAU",2023-05-29,0.795,0.8,-6.32,0.031,0.035,0.0,0.934,8182.5,3,2022-04-19
