id,nationality_points,nationality_songs_counted,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,song_count,artists_points,artists_songs_counted
6r7ULK6c5CLVvImjTIztl1,1335122.0,15117.0,0.695,0.686,-8147.0,0.048,0.0,0.002,0.354,9,49416.0,544.0
2vQwlW8H1jFveGNXwZfJCV,90623.0,1137.0,0.461,0.028,-21992.0,0.041,0.973,0.002,0.354,7,0.0,0.0
1Znlc3UZAbSodFaMBjdpsX,1335122.0,15117.0,0.746,0.338,-13472.0,0.109,0.674,0.0,0.469,6,49416.0,544.0
05bnEv2dpFzmGVLGdjD9UP,90623.0,1137.0,0.57,0.028,-22282.0,0.059,0.859,0.089,0.28,7,0.0,0.0
4zI04ezdmrN0lT2pHykYrd,1335122.0,15117.0,0.671,0.628,-5117.0,0.027,0.536,0.151,0.595,7,49416.0,544.0
6rAGFgcGtlIdYxlhDizXNo,1335122.0,15117.0,0.819,0.513,-9005.0,0.433,0.153,0.0,0.607,8,49416.0,544.0
5xbrhx2tMMcN68IT3cJbhS,90623.0,1137.0,0.57,0.285,-14125.0,0.038,0.737,0.013,0.097,5,0.0,0.0
1vi9adPJiD4d22ybGp25hy,1693756.0,19399.0,0.442,0.71,-5142.0,0.684,0.026,0.0,0.508,4,14071.0,120.0
2aOPvzjpMwikBgngKcxsA9,1335122.0,15117.0,0.678,0.481,-20.18,0.92,0.868,0.0,0.068,2,49416.0,544.0
1Wh5LO3TWAvaeDrwp4FZgo,1699828.0,19506.0,0.421,0.154,-12405.0,0.032,0.102,0.007,0.095,1,81640.0,880.0
5b6zjsBrZCqe6RFycLz2tc,1335122.0,15117.0,0.606,0.349,-10032.0,0.198,0.076,0.071,0.239,3,49416.0,544.0
0VJYhKhrHgJ7fgjGaC2k07,90623.0,1137.0,0.597,0.113,-34475.0,0.954,0.461,0.0,0.313,2,0.0,0.0
5FYu8uBB6E11mepU601601,1693756.0,19399.0,0.494,0.802,-5.08,0.412,0.067,0.0,0.453,3,0.0,0.0
2VYb3Fb5iK5Y8HGZ8oEEkp,1647293.0,18899.0,0.665,0.417,-6731.0,0.524,0.374,0.0,0.04,17,1637.0,24.0
2Yl4OmDby9iitgNWZPwxkd,1436760.0,16363.0,0.82,0.568,-8.23,0.411,0.026,0.0,0.535,73,50420.0,669.0
5LciLoxa1gK70yIUeoHgRx,140760.0,2044.0,0.764,0.59,-4292.0,0.04,0.129,0.008,0.281,54,0.0,0.0
3dG6tjetoR4GMmUGZUprLt,1647293.0,18899.0,0.555,0.433,-8559.0,0.546,0.494,0.0,0.352,14,1637.0,24.0
0tgbSxoFjZ20MjfoKwWevV,35496.0,626.0,0.571,0.937,-2682.0,0.034,0.1,0.496,0.512,1,25151.0,473.0
6EuE9M1viu9gkdFSafia9o,1647293.0,18899.0,0.742,0.407,-6938.0,0.426,0.822,0.0,0.39,13,1637.0,24.0
55S2PQgSMYAhgoTCcGCDfw,26123.0,1015.0,0.596,0.854,-5114.0,0.463,0.017,0.0,0.152,63,2759.0,31.0
3ITvHA9zhZZdBJsOsAUegF,84786.0,1773.0,0.742,0.432,-7539.0,0.062,0.984,0.0,0.252,117,33584.0,838.0
10lgpgAGhQBv0WqcrzGM7D,1667774.0,19088.0,0.585,0.597,-7499.0,0.037,0.339,0.04,0.227,1,0.0,0.0
4gALhhysObk59C3fxeTLwh,29742.0,1123.0,0.645,0.636,-6128.0,0.437,0.397,0.0,0.897,13,356.0,16.0
5fGWdNGGnvKrrHL6U7c1Vp,358596.0,3708.0,0.632,0.807,-5893.0,0.126,0.144,0.021,0.784,1,0.0,0.0
4S1GTwPVpkSy7CsJIDKPEz,358596.0,3708.0,0.516,0.56,-7116.0,0.486,0.032,0.0,0.696,1,9613.0,124.0
0UTHr20nqVFMoji8xYE9yl,125770.0,992.0,0.465,0.311,-11748.0,0.035,0.875,0.0,0.311,5,19645.0,139.0
24MGEzm6xAO1nFgVVp37YI,1602271.0,18407.0,0.544,0.368,-9512.0,0.038,0.969,0.255,0.102,6,0.0,0.0
6ImrWnhjEOw5re3cGLMIHJ,1616941.0,18574.0,0.433,0.85,-5.79,0.416,0.325,0.0,0.58,3,9266.0,199.0
03vyB3AHCuEGfhh7wPc7Yf,125770.0,992.0,0.49,0.473,-8887.0,0.129,0.792,0.0,0.603,3,19645.0,139.0
1wGYcpJZ59rePkNu4zHmLu,1616941.0,18574.0,0.514,0.403,-11101.0,0.128,0.897,0.051,0.463,2,9266.0,199.0
5N521RK66Z1FP0Oz6B4OlT,1616941.0,18574.0,0.852,0.632,-8.08,0.43,0.606,0.0,0.715,2,9266.0,199.0
6cpsixIHI63L0hwh3CwZg3,1616941.0,18574.0,0.674,0.578,-8768.0,0.298,0.052,0.006,0.163,2,0.0,0.0
5TX0mfUkpGlU6j2xa00ERx,1616941.0,18574.0,0.91,0.477,-5259.0,0.418,0.121,0.0,0.313,2,9266.0,199.0
2MF4HtZHBoUliOi9nOAbS0,1616941.0,18574.0,0.593,0.37,-11674.0,0.397,0.832,0.0,0.312,2,9266.0,199.0
7iEoaTyBCqLaAwJnOP1BTn,1616941.0,18574.0,0.694,0.796,-3696.0,0.198,0.071,0.016,0.592,2,0.0,0.0
1tWpgH8rErSXPOkQKFCag9,152976.0,2284.0,0.696,0.668,-5063.0,0.199,0.361,0.004,0.761,1,48258.0,1011.0
6ePyl2ns4b7MVYhjsj32ZK,12075.0,168.0,0.775,0.271,-9131.0,0.092,0.554,0.003,0.204,6,5464.0,64.0
1dNyRyz1QBN9kO1etUs1PI,1573021.0,18032.0,0.673,0.449,-9727.0,0.298,0.169,0.001,0.216,11,0.0,0.0
2UciqgwVDwro0fev3MFbxJ,1490092.0,17057.0,0.772,0.498,-7661.0,0.649,0.115,0.0,0.351,30,0.0,0.0
5B03nSG8pLE48jh7kmasuL,46561.0,546.0,0.579,0.887,-5961.0,0.033,0.048,0.828,0.472,29,29155.0,274.0
3NelcGZ46JmV9LqOD1pnxA,12075.0,168.0,0.527,0.61,-6903.0,0.107,0.758,0.0,0.549,1,6560.0,102.0
7BwxbmYFy0l3ROHDjV2c14,29948.0,329.0,0.54,0.367,-14238.0,0.028,0.037,0.0,0.252,3,0.0,0.0
