Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Points (Total),id,Date_earliest,song_count,Points (Total)_grouped,date_difference
2023-05-29,-0.22322430484348604,0.6805552531851955,0.04295655000345234,-0.7945555728047274,1.0936075028145835,-0.1397406214019026,1.388250903975466,200,3qQbCzHBycnDpGskqOWY0E,2023-04-28,32,6385,31 days
2023-05-29,-0.34335682179238725,0.9503332552883311,0.45835742870651597,-0.5054219525740449,-0.3801035215054134,11.354197682064127,-1.2912026653825308,199,7ro0hRteUMfnOioTFI5TG1,2023-05-19,11,2188,10 days
2023-05-29,0.857968347696624,-1.111541475071347,-0.13727788483573344,2.3033046439525866,-0.07669242826306104,-0.1397406214019026,0.16016801801971775,198,2UW7JaomAMuX9pZrjVpHAU,2023-03-18,73,13806,72 days
2023-05-29,0.6402281607267405,-0.38571018369862564,-1.090150773407843,-0.7945555728047274,0.8855541817341134,-0.1397406214019026,0.9059492614910265,197,7FbrGaHYVDmfr7KoLIZnQ7,2023-04-01,59,11418,58 days
2023-05-29,-0.9665442534648123,0.4621635371969428,0.4378925625992777,-0.6499887626893862,-0.011675765425414063,-0.1397406214019026,0.17356528586650774,196,6pD0ufEQq0xdHSsRbg9LBK,2023-04-17,43,8559,42 days
2023-05-29,0.06959870521945981,0.18596224932944752,0.3484934106571318,-0.44346474823889853,-0.7268590566395302,-0.1397406214019026,0.5486887855766271,195,4DHcnVTT87F0zZhRPYmZ3B,2023-03-10,81,16026,80 days
2023-05-29,-1.4245494743324973,-1.426282477525005,-1.500525193768778,-0.7842293720822031,2.5976596364588156,-0.1397406214019026,-0.8892846299788312,194,1odExI7RdWc4BT515LTAwj,2023-04-14,46,8924,45 days
2023-05-29,-0.4034230802668379,0.5328196806049069,-0.1620511438076534,-0.7325983684695812,-0.7745379427204714,2.4916220426666316,-0.4695035707794118,193,1Qrg8KqiBpW07V7PNxwwwL,2022-12-09,172,33857,171 days
2023-05-29,-1.3344500866208213,0.5071265375474654,-0.01520675366975104,-0.5570529561866667,0.4824508721407026,-0.12146726956809334,0.6201408807595071,192,4Dvkj6JhhA12EX05fT7y2e,2022-05-20,375,73310,374 days
2023-05-29,0.16720637524044205,-0.14162532465293148,0.6278208813839974,1.7250374034912213,1.9171518987581113,-0.1397406214019026,0.3745243035683572,191,0DWdj2oZMBFSzRsi2Cvfzf,2023-02-24,95,18579,94 days
2023-05-29,1.2108576162340206,0.038226676749158944,1.8995902388176873,0.5065457182333444,-0.37143463312706043,-0.1397406214019026,0.6647984402488071,190,6XSqqQIy7Lm7SnwxS4NrGx,2023-03-31,60,10803,59 days
2023-05-29,0.6627530076546595,1.29076740079943,0.1223027852613409,-0.5260743540190936,0.18337422308752674,-0.1397406214019026,1.9643334213874353,189,368eeEO3Y2uZUQ6S5oIjcu,2023-05-19,11,1957,10 days
2023-05-29,-0.4559810564319821,-0.05812260971624664,-0.457894120515799,-0.5983577590767644,-0.4364512959647073,-0.1397406214019026,0.044058363347537786,188,0V3wPSX9ygBnCm8psDIegu,2022-10-21,221,41444,220 days
2023-05-29,0.7603606776756417,0.9631798268170518,0.035775895228982786,-0.7532507699146299,0.8595475165990546,-0.12146726956809334,1.2855385171500764,187,1s7oOCT8vauUh01PbJD6ps,2023-04-28,32,5932,31 days
2023-05-29,0.12966496369391042,-0.20585818229653519,-0.2546815903983106,-0.6396625619668618,0.807534186328937,-0.1397406214019026,-1.5680795342161906,186,2dHHgzDwk4BJdRwy9uXhTO,2022-12-02,175,33502,178 days
2023-05-29,-0.9214945596089743,-0.9766524740197792,-0.8251846122299166,-0.4021599453488012,-0.01601020961459053,-0.1397406214019026,-0.07651704727357217,185,4W4fNrZYkobj539TOWsLO2,2023-03-14,76,14311,76 days
2023-05-29,0.12966496369391042,0.18596224932944752,1.8997841164965978,0.031540484997222895,-0.4407857401538838,-0.1397406214019026,-1.0991751595785408,184,1vvcEHQdaUTvWt0EIUYcFK,2023-05-19,11,2043,10 days
2023-05-29,-1.049135358867181,-0.5976786139225172,-1.4096899108717382,-0.14400492728569156,0.6081497536268199,-0.1397406214019026,0.43257913090444716,183,7KA4W4McWYRpgf0fWsJZWB,2017-07-21,86,9726,2138 days
2023-05-29,-0.19319117560626076,-0.064545895480607,0.45261290488694034,-0.8152079742497763,-0.575153510018354,-0.1397406214019026,-0.13010611866073216,182,1daDRI9ahBonbWD8YcxOIB,2020-11-27,78,8180,913 days
2023-05-29,-1.5446819912813985,0.1474225347432853,-0.057572616839121404,-0.7325983684695812,1.0242563957877602,-0.1397406214019026,-0.20155821384361214,181,7K3BhSpAxZBznislvUMVtn,2023-03-03,88,15741,87 days
2023-05-29,0.5276039260871457,-0.05169932395188626,-0.49379739438814674,0.26904310161528366,2.190221882676228,-0.12146726956809334,0.030661095500747793,180,609E1JCInJncactoMmkDon,2023-03-24,67,12708,66 days
2023-05-29,-1.049135358867181,-0.026006180894444775,-0.6410008172647725,-0.5673791569091912,-0.020344653803766995,-0.1397406214019026,1.432908463464766,179,1haJsMtoBhHfvuM7XWuT3W,2023-02-24,95,13955,94 days
2023-05-29,-1.7549138959419752,-1.5097851924616896,-1.453850937734726,-0.8668389778623982,-0.4104446308296485,0.26227311894190125,-0.19709245789468213,178,5XeFesFbtLpXzIVDNQP22n,2022-10-08,234,39109,233 days
2023-05-29,0.6702612899639658,-0.5270224705145538,-0.2101615307965994,1.1880749659199534,-0.8048790520447066,-0.1397406214019026,0.9372095531335365,177,6T7FXSuXykeGktMLGp8WgE,2023-05-26,4,720,3 days
