author,points_sum,points in 01/2017,points in 02/2017,points in 03/2017,points in 04/2017,points in 05/2017,points in 06/2017,points in 07/2017,points in 08/2017,points in 09/2017,points in 10/2017,points in 11/2017,points in 12/2017,points in 01/2018,points in 02/2018,points in 03/2018,points in 04/2018,points in 05/2018,points in 06/2018,points in 07/2018,points in 08/2018,points in 09/2018,points in 10/2018,points in 11/2018,points in 12/2018,points in 01/2019,points in 02/2019,points in 03/2019,points in 04/2019,points in 05/2019,points in 06/2019,points in 07/2019,points in 08/2019,points in 09/2019,points in 10/2019,points in 11/2019,points in 12/2019,points in 01/2020,points in 02/2020,points in 03/2020,points in 04/2020,points in 05/2020,points in 06/2020,points in 07/2020,points in 08/2020,points in 09/2020,points in 10/2020,points in 11/2020,points in 12/2020,points in 01/2021,points in 02/2021,points in 03/2021,points in 04/2021,points in 05/2021,points in 06/2021,points in 07/2021,points in 08/2021,points in 09/2021,points in 10/2021,points in 11/2021,points in 12/2021,points in 01/2022,points in 02/2022,points in 03/2022,points in 04/2022,points in 05/2022,points in 06/2022,points in 07/2022,points in 08/2022,points in 09/2022,points in 10/2022,points in 11/2022,points in 12/2022,points in 01/2023,points in 02/2023,points in 03/2023,points in 04/2023,points in 05/2023
Anglo-America,25841385.850000143,349712.0,312062.0,330904.0,354576.0,340685.0,323858.0,341195.0,344395.0,339637.0,351808.0,328781.0,350947.0,343302.0,326319.0,379894.0,369983.0,379351.0,380078.0,388675.0,386743.0,381094.0,399375.0,365741.0,391624.0,364635.0,334689.0,370111.0,365439.0,367484.0,331211.0,334034.0,352357.0,369606.0,366258.0,343618.0,370122.0,383231.0,343224.0,360167.0,368780.0,383145.0,365068.0,394188.0,379662.0,347116.0,335978.0,319321.0,356296.0,327078.0,291379.0,333008.0,329588.0,321789.0,312452.0,290549.0,291710.0,319599.0,294747.0,304520.0,344313.75000006,340761.0,303573.0,325028.0,310714.0,278815.0,262314.0,268601.0,263898.0,245160.0,290617.0,321485.833333411,360956.0,296950.0,260354.0,277643.0,258276.0,249028.266666675
Europe,10681602.750000063,202942.0,162168.0,221349.0,176991.0,162420.0,164905.0,181971.0,177733.0,163746.0,173057.0,174026.0,164641.0,151406.0,126442.0,125288.0,123929.0,120034.0,107214.0,114009.0,117522.0,117389.0,124445.0,140659.0,146719.0,147839.0,134102.0,142618.0,117657.0,134465.0,147297.0,161287.0,132697.0,107394.0,129603.0,141267.0,151223.0,111957.0,99626.0,93994.0,106227.0,102668.0,111474.0,112457.0,117424.0,114345.0,122297.0,116750.0,119357.0,129305.0,124835.0,145137.0,149315.0,159156.0,150328.0,148346.0,132606.0,116225.0,160251.0,174173.0,154561.41666663002,138596.0,130900.0,149589.0,141935.0,131291.0,148757.0,140988.0,153914.0,163117.0,164332.0,126450.33333333,133214.0,133007.0,123171.0,122664.0,110217.0,108192.00000010201
Latin-America,8288406.999999903,49467.0,51667.0,51552.0,56458.0,64817.0,71200.0,81285.0,88266.0,80437.0,79889.0,85026.0,95161.0,109501.0,96880.0,106706.0,95451.0,96794.0,88866.0,99623.0,94448.0,83884.0,76232.0,73833.0,72720.0,91303.0,76724.0,94449.0,88550.0,98055.0,103078.0,109549.0,120097.0,108102.0,106105.0,102474.0,93976.0,109344.0,109035.0,148221.0,110274.0,114688.0,101248.0,90927.0,98909.0,110444.0,111837.0,118861.0,116141.0,129123.0,113949.0,117144.0,99439.0,110593.0,111553.0,141576.0,147360.0,127526.0,130115.0,96183.0,85457.166666745,111848.0,96712.0,113139.0,119759.0,180494.0,156893.0,173829.0,165407.0,132519.0,119821.0,114221.499999962,102171.0,138078.0,134947.0,180816.0,178371.0,176809.333333196
Asia,1078215.8999999089,2268.0,1843.0,1473.0,1465.0,1421.0,1178.0,1173.0,1020.0,5573.0,3133.0,3317.0,6412.0,4610.0,3226.0,3898.0,6502.0,14759.0,13153.0,8592.0,9744.0,4729.0,3777.0,6079.0,5524.0,3801.0,1656.0,1471.0,18958.0,10693.0,8763.0,5783.0,3443.0,2480.0,3876.0,2955.0,2119.0,5294.0,17181.0,6615.0,2487.0,6741.0,5666.0,7036.0,11014.0,17452.0,36877.0,33043.0,16501.0,12490.0,9108.0,8213.0,9436.0,16762.0,20841.0,23429.0,28003.0,30092.0,35013.0,23416.0,22102.166666653,25510.0,23995.0,27824.0,19896.0,17872.0,22933.0,27807.0,26181.0,46331.0,33574.0,25902.166666618003,21650.0,33916.0,26385.0,28950.0,44921.0,38889.566666638
Oceania,1059687.83333332,20943.0,15912.0,17318.0,11680.0,10714.0,18599.0,11962.0,7592.0,9849.0,11518.0,7642.0,5980.0,11412.0,7538.0,4853.0,5082.0,9633.0,11548.0,10217.0,13323.0,13177.0,13101.0,11871.0,11181.0,12016.0,13636.0,14022.0,12115.0,12404.0,13322.0,12167.0,14497.0,15111.0,14852.0,12632.0,10009.0,10886.0,13916.0,13950.0,15289.0,15920.0,19552.0,18079.0,15176.0,11693.0,13011.0,13922.0,22013.0,25160.0,23729.0,21298.0,19426.0,19679.0,20662.0,30315.0,36122.0,23429.0,21144.0,12775.0,16022.0,10553.0,11738.0,12558.0,15610.0,15024.0,12084.0,8903.0,8322.0,7489.0,9231.0,10191.33333333,11338.0,12813.0,10714.0,7393.0,7317.0,5813.499999989999
Africa,233261.000000008,1877.0,1526.0,2212.0,3262.0,3849.0,4005.0,4464.0,4063.0,3755.0,3685.0,3234.0,3001.0,2945.0,2365.0,2488.0,2120.0,1703.0,1300.0,1280.0,675.0,1957.0,5072.0,4134.0,2271.0,3178.0,1994.0,331.0,40.0,0.0,83.0,277.0,6.0,302.0,2547.0,95.0,1261.0,2331.0,1435.0,161.0,0.0,0.0,0.0,522.0,945.0,2037.0,3202.0,1345.0,70.0,0.0,2.0,0.0,12.0,235.0,303.0,202.0,248.0,6927.0,11716.0,15744.0,13285.499999983,12813.0,8092.0,5941.0,3945.0,3626.0,2464.0,5050.0,7205.0,9837.0,7243.0,4748.83333336,4644.0,6203.0,4148.0,3145.0,3165.0,2911.666666665
Unknown,11830.66666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854.0,870.0,734.0,722.0,1194.0,1098.0,692.0,313.0,355.0,30.0,150.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,602.0,1356.0,1126.0,1255.66666666
