author,points_sum,points in 2017,points in 2018,points in 2019,points in 2020,points in 2021,points in 2022,points in 2023
Anglo-America,25841385.850000143,4068560.0,4492179.0,4269564.0,4336176.0,3760732.75000006,3571922.8333334113,1342251.266666675
Europe,10681602.750000061,2125949.0,1515056.0,1647449.0,1328576.0,1744238.41666663,1723083.33333333,597251.000000102
Latin-America,8288406.999999903,855225.0,1094938.0,1192462.0,1339929.0,1410018.166666745,1586813.499999962,809021.333333196
Asia,1078215.899999909,30276.0,84593.0,65998.0,165907.0,238905.166666653,319475.16666661797,173061.566666638
Oceania,1059687.83333332,149709.0,122936.0,156783.0,183407.0,269761.0,133041.33333333,44050.49999999
Africa,233261.000000008,38933.0,28310.0,10114.0,12048.0,48674.499999983,75608.83333336,19572.666666664998
Unknown,11830.66666666,0.0,6477.0,885.0,0.0,0.0,0.0,4468.6666666599995
