author,points_sum,points in 2017,points in 2018,points in 2019,points in 2020,points in 2021,points in 2022,points in 2023
The Kid LAROI,169816.0,0.0,0.0,0.0,25276.0,88609.5,40608.0,15322.5
Feid,169315.833333331,0.0,0.0,7877.0,11761.0,0.0,55826.333333331,93851.5
J. Cole,164999.5,9170.0,29098.0,45285.0,4236.0,32203.0,27153.0,17854.5
Charlie Puth,161356.333333317,84533.0,34933.0,490.0,56.0,0.0,39302.333333329996,2041.999999987
Arctic Monkeys,161103.0,0.0,4129.0,0.0,389.0,15852.0,92258.0,48475.0
Tones And I,158729.0,0.0,0.0,31657.0,78869.0,42299.0,5904.0,0.0
Manuel Turizo,157240.666666667,25080.0,29293.0,22839.0,8460.0,6078.0,33344.0,32146.666666667
Bebe Rexha,157111.0,47137.0,64635.0,18549.0,793.0,4.0,12278.5,13714.5
Avicii,156128.0,43597.0,46169.0,33311.0,468.0,19927.0,12524.0,132.0
BLACKPINK,154639.0,0.0,11403.0,20378.0,66841.0,3533.0,44635.0,7849.0
Migos,152673.0,92386.0,54305.0,0.0,774.0,5208.0,0.0,0.0
ROSALÍA,152114.0,0.0,0.0,23324.0,29167.0,30787.5,43118.0,25717.5
Shakira,151423.0,65938.0,15546.0,0.0,7380.0,10390.5,21555.0,30613.5
Glass Animals,149601.0,0.0,0.0,0.0,384.0,62707.0,66690.0,19820.0
Lauv,149208.0,38755.0,39831.0,61568.0,9054.0,0.0,0.0,0.0
Sech,148829.428571427,0.0,0.0,39462.0,52570.0,50916.095238096,5872.333333331,9.0
Jason Derulo,148313.0,59319.0,20995.0,0.0,41198.0,24155.0,2646.0,0.0
Kygo,143454.5,66588.0,32925.0,23731.0,19301.0,804.5,105.0,0.0
Nicky Jam,143378.0,46343.0,36882.0,35977.0,13753.0,10260.0,0.0,163.0
David Guetta,143009.83333336,39289.0,53338.0,6628.0,244.0,14026.5,14060.5,15423.83333336
Swae Lee,139843.5,23622.0,24174.0,35975.0,25013.0,17615.0,11357.5,2087.0
DJ Khaled,138480.0,68711.0,13530.0,5748.0,39170.0,8912.0,2397.0,12.0
Miley Cyrus,138150.0,22805.0,255.0,17591.0,32066.0,24167.0,281.0,40985.0
Chris Brown,137748.00000002,14600.0,0.0,40555.0,16228.0,5364.0,33575.0,27426.00000002
Kanye West,134171.0,899.0,43450.0,20612.0,930.0,54831.0,13324.0,125.0
Jack Harlow,130016.5,0.0,0.0,0.0,50827.0,7815.0,70635.5,739.0
Sia,127513.0,38709.0,30472.0,1667.0,5050.0,16728.0,24894.0,9993.0
Myke Towers,125224.833333333,0.0,0.0,8136.0,49414.0,62914.833333333,544.0,4216.0
5 Seconds of Summer,124764.0,0.0,45792.0,69561.0,9411.0,0.0,0.0,0.0
Nicki Minaj,124468.5,29183.0,31302.0,8641.0,27830.0,4008.0,20416.0,3088.5
Måneskin,123753.0,0.0,0.0,0.0,0.0,89095.0,34342.0,316.0
Lizzo,123612.0,0.0,0.0,67074.0,10532.0,4184.0,37855.0,3967.0
Roddy Ricch,119822.0,0.0,37.0,4746.0,90364.0,18894.0,5781.0,0.0
Martin Garrix,119369.0,47111.0,42201.0,29310.0,204.0,543.0,0.0,0.0
Sebastian Yatra,118432.166666667,30190.0,21318.0,13439.0,4879.0,25268.5,23191.0,146.666666667
Kodak Black,116874.4,38524.0,35821.0,25914.0,0.0,2104.0,14065.0,446.40000000000003
Tiësto,113569.0,73.0,7582.0,3786.0,6643.0,63236.0,25088.0,7161.0
Luis Fonsi,109111.0,75380.0,29005.0,4725.0,1.0,0.0,0.0,0.0
Bazzi,109009.0,0.0,62303.0,45052.0,1654.0,0.0,0.0,0.0
Anne-Marie,108303.33333336,6872.0,59641.0,37599.0,966.0,1516.0,0.0,1709.3333333599999
Camilo,108210.0,0.0,1507.0,21266.0,56015.0,29422.0,0.0,0.0
DJ Snake,107948.0,27421.0,19626.0,53571.0,1322.0,6008.0,0.0,0.0
Lil Baby,107090.0,0.0,42667.0,30712.0,26489.0,1123.0,6070.0,29.0
benny blanco,106889.0,0.0,36088.0,61884.0,5493.0,982.0,2442.0,0.0
Steve Lacy,105531.0,0.0,0.0,0.0,0.0,16883.0,66508.0,22140.0
24kGoldn,105238.0,0.0,0.0,4889.0,41991.0,54426.0,3932.0,0.0
Jonas Brothers,103151.5,0.0,0.0,70812.0,31483.0,464.5,392.0,0.0
Tainy,103088.66666668,0.0,0.0,39797.0,32388.0,13667.666666680001,17236.0,0.0
Danny Ocean,103039.5,50279.0,32940.0,1298.0,0.0,0.0,18522.5,0.0
Polo G,101967.0,0.0,0.0,21136.0,21767.0,51244.0,7820.0,0.0
Paulo Londra,101789.5,0.0,29250.0,58695.0,0.0,0.0,13844.5,0.0
Tom Odell,101089.0,0.0,0.0,0.0,0.0,18862.0,56690.0,25537.0
Zedd,101051.0,61403.0,26452.0,13157.0,39.0,0.0,0.0,0.0
Young Thug,99193.666666673,21339.0,3117.0,43880.0,14106.0,4851.9999999930005,8761.0,3138.66666668
SAINt JHN,97475.5,0.0,0.0,1643.0,65135.0,30666.5,31.0,0.0
Tyga,95936.0,32.0,47838.0,28536.0,13883.0,4517.0,1130.0,0.0
Joel Corry,94929.0,0.0,0.0,0.0,29542.0,64760.0,627.0,0.0
Tate McRae,94297.0,0.0,0.0,0.0,27472.0,38283.0,21381.0,7161.0
Demi Lovato,94272.0,37231.0,37914.0,0.0,6291.0,4765.0,8071.0,0.0
Zion & Lennox,93708.0,35212.0,36658.0,1003.0,952.0,4704.0,15179.0,0.0
A Boogie Wit da Hoodie,90233.0,19837.0,4018.0,63836.0,2540.0,0.0,2.0,0.0
Rita Ora,90103.0,36114.0,36865.0,17089.0,0.0,35.0,0.0,0.0
Quavo,89754.0,53841.0,31810.0,3216.0,675.0,0.0,198.0,14.0
Panic! At The Disco,89211.0,0.0,30166.0,44917.0,3128.0,0.0,11000.0,0.0
Becky G,89180.5,11450.0,43026.0,5045.0,8.0,6236.0,19950.5,3465.0
6ix9ine,87914.0,545.0,54339.0,9053.0,23977.0,0.0,0.0,0.0
Lil Mosey,87517.0,0.0,10882.0,11126.0,53567.0,11942.0,0.0,0.0
Conan Gray,87389.0,0.0,0.0,71.0,31818.0,37085.0,16214.0,2201.0
Major Lazer,84538.0,76759.0,439.0,6141.0,1153.0,46.0,0.0,0.0
Beyoncé,83874.0,339.0,2080.0,5030.0,10591.0,8.5,49580.0,16245.5
Quevedo,82666.5,0.0,0.0,0.0,0.0,0.0,40507.0,42159.5
Joji,82665.0,0.0,4605.0,4704.0,10725.0,2.0,48031.0,14598.0
Piso 21,82379.0,35113.0,34654.0,11871.0,726.0,15.0,0.0,0.0
Chencho Corleone,81209.0,0.0,0.0,1060.0,13629.0,3541.0,51076.0,11903.0
Dean Lewis,80343.0,0.0,26992.0,35297.0,8622.0,518.0,6562.0,2352.0
Michael Bublé,80324.5,9490.0,14354.0,14314.0,14243.0,13928.5,13995.0,0.0
Regard,79431.0,0.0,0.0,19204.0,50125.0,10102.0,0.0,0.0
ZAYN,78618.0,48859.0,20075.0,4480.0,2389.0,2815.0,0.0,0.0
Hailee Steinfeld,77876.0,49026.0,26611.0,2225.0,14.0,0.0,0.0,0.0
blackbear,77552.0,13502.0,0.0,21799.0,38463.0,2376.0,1412.0,0.0
Lil Tecca,77316.0,0.0,0.0,56050.0,17455.0,3811.0,0.0,0.0
Ruth B.,77179.0,0.0,0.0,0.0,0.0,7914.0,51937.0,17328.0
Bizarrap,76564.0,0.0,0.0,544.0,3875.0,10413.5,34533.0,27198.5
Ellie Goulding,75685.0,9921.0,9677.0,46378.0,4653.0,0.0,0.0,5056.0
Daft Punk,74900.5,42997.0,2217.0,78.0,403.0,4503.0,12403.0,12299.5
d4vd,74394.0,0.0,0.0,0.0,0.0,0.0,27110.0,47284.0
MEDUZA,73218.25,0.0,0.0,23429.0,21075.0,28669.0,37.25,8.0
Bradley Cooper,72959.0,0.0,9001.0,30491.0,19721.0,12781.0,745.0,220.0
Trevor Daniel,72543.0,0.0,0.0,8162.0,56697.0,7684.0,0.0,0.0
YNW Melly,71419.0,0.0,0.0,47887.0,23532.0,0.0,0.0,0.0
Jhayco,68255.16666666401,0.0,0.0,0.0,6272.0,30094.833333333,31604.333333331,284.0
Niall Horan,68012.0,49500.0,1818.0,8302.0,3519.0,1417.0,0.0,3456.0
Anitta,67571.5,8212.0,21417.0,2030.0,7943.0,694.5,27245.0,30.0
Childish Gambino,67547.0,39370.0,25969.0,409.0,1151.0,0.0,648.0,0.0
Metro Boomin,66240.66666667,11340.0,13360.0,4536.0,7157.0,0.0,9441.0,20406.66666667
Arizo Zervas,66138.0,0.0,0.0,12298.0,51539.0,2301.0,0.0,0.0
Machine Gun Kelly,65845.0,25295.0,6764.0,3510.0,17914.0,10155.0,2207.0,0.0
Stephen Sanchez,65573.0,0.0,0.0,0.0,0.0,0.0,39839.0,25734.0
Twenty One Pilots,65544.0,43986.0,9774.0,120.0,6836.0,4828.0,0.0,0.0
Wisin,64359.0,34448.0,8341.0,1587.0,4437.0,15546.0,0.0,0.0
Logic,63682.0,18041.0,27422.0,16622.0,1583.0,14.0,0.0,0.0
Jhay Cortez,63377.0,0.0,0.0,11984.0,12876.0,38517.0,0.0,0.0
Justin Quiles,63297.428571432,0.0,2379.0,8679.0,31094.0,14174.428571432,6936.0,35.0
Peso Pluma,62994.999999993,0.0,0.0,0.0,0.0,0.0,2972.5,60022.499999993
Mariah Carey,62899.666666670004,7545.0,9794.0,10911.0,10961.0,11947.66666667,11741.0,0.0
Internet Money,62795.25,0.0,0.0,203.0,25951.0,36640.25,1.0,0.0
NewJeans,62492.0,0.0,0.0,0.0,0.0,0.0,12141.0,50351.0
Ali Gatie,61216.0,0.0,0.0,30809.0,30407.0,0.0,0.0,0.0
Katy Perry,61126.5,24162.0,0.0,30657.0,5579.0,108.0,620.5,0.0
Mustard,60549.0,0.0,0.0,36147.0,24402.0,0.0,0.0,0.0
Natti Natasha,60487.0,8448.0,38452.0,7535.0,1813.0,4214.0,25.0,0.0
Elley Duhé,60460.25,0.0,8205.0,62.0,0.0,455.0,50747.25,991.0
Megan Thee Stallion,60403.0,0.0,0.0,6725.0,31424.0,15575.0,6679.0,0.0
Alessia Cara,60174.0,51565.0,6987.0,1107.0,238.0,125.0,152.0,0.0
G-Eazy,59695.0,29666.0,26176.0,391.0,3300.0,162.0,0.0,0.0
Rihanna,59477.5,25349.0,2138.0,74.0,4877.0,140.0,8885.0,18014.5
Julia Michaels,59171.0,43930.0,14854.0,382.0,0.0,5.0,0.0,0.0
Offset,58720.0,14107.0,33484.0,11118.0,0.0,0.0,11.0,0.0
CKay,58594.99999999,0.0,0.0,0.0,0.0,37140.99999999,21454.0,0.0
Jos Blue,58381.0,29815.0,17889.0,10677.0,0.0,0.0,0.0,0.0
The Walters,57429.0,0.0,0.0,0.0,0.0,11423.0,41809.0,4197.0
Lil Pump,57285.0,18947.0,28776.0,9562.0,0.0,0.0,0.0,0.0
RAYE,57002.5,19712.0,0.0,0.0,6439.0,13939.0,2513.5,14399.0
Elton John,56347.83333332,682.0,1282.0,1547.0,1355.0,17519.5,28685.33333333,5276.999999989999
French Montana,55690.0,24092.0,23206.0,7986.0,406.0,0.0,0.0,0.0
Reik,55435.0,0.0,40963.0,12872.0,1586.0,14.0,0.0,0.0
KYLE,54691.0,36860.0,17788.0,43.0,0.0,0.0,0.0,0.0
Nirvana,53550.0,0.0,0.0,0.0,10.0,15018.0,38510.0,12.0
Axwell /\ Ingrosso,53393.0,35596.0,17797.0,0.0,0.0,0.0,0.0,0.0
Gucci Mane,53233.0,37148.0,10676.0,5409.0,0.0,0.0,0.0,0.0
Labrinth,53187.0,4471.0,6477.0,919.0,9475.0,0.0,26916.0,4929.0
Portugal. The Man,53037.0,26228.0,26672.0,125.0,12.0,0.0,0.0,0.0
"Tyler, The Creator",52927.0,2032.0,388.0,24661.0,634.0,15027.0,2407.0,7778.0
Bastille,52849.0,27.0,13162.0,28769.0,10853.0,38.0,0.0,0.0
Mabel,52628.0,0.0,0.0,48525.0,4102.0,1.0,0.0,0.0
Justin Timberlake,52398.0,24039.0,26630.0,0.0,907.0,0.0,822.0,0.0
Kali Uchis,51900.33333334,0.0,0.0,0.0,0.0,36405.33333334,2101.0,13394.0
Troye Sivan,51590.0,13221.0,9543.0,16652.0,392.0,1102.0,10680.0,0.0
Masked Wolf,51573.0,0.0,0.0,0.0,0.0,50298.0,1275.0,0.0
JP Saxe,51036.0,0.0,0.0,2341.0,41271.0,7424.0,0.0,0.0
Robin Schulz,49967.0,14852.0,46.0,5611.0,10619.0,5650.0,7169.0,6020.0
Alan Walker,49875.0,31902.0,8008.0,5792.0,4099.0,74.0,0.0,0.0
Lana Del Rey,49723.0,9029.0,321.0,5504.0,176.0,1498.0,17728.0,15467.0
Grupo Frontera,49450.0,0.0,0.0,0.0,0.0,0.0,12466.0,36984.0
Don Toliver,49398.91666664,0.0,0.0,4772.0,38187.0,1225.25,3725.0,1489.6666666400001
Liam Payne,49169.0,22511.0,25955.0,216.0,463.0,0.0,24.0,0.0
Enrique Iglesias,49104.0,33305.0,15799.0,0.0,0.0,0.0,0.0,0.0
Cheat Codes,48290.0,42775.0,5515.0,0.0,0.0,0.0,0.0,0.0
Miguel,48073.0,3029.0,20571.0,0.0,0.0,0.0,1646.0,22827.0
Big Sean,48063.0,41650.0,572.0,225.0,5616.0,0.0,0.0,0.0
Lenny Tavárez,47982.428571432,0.0,2978.0,12202.0,21386.0,4379.428571431999,7037.0,0.0
Giveon,47563.666666677,0.0,0.0,0.0,0.0,39317.666666677,8246.0,0.0
Jax Jones,47489.5,21189.0,6021.0,2238.0,0.0,13791.5,4250.0,0.0
CNCO,47379.0,46977.0,402.0,0.0,0.0,0.0,0.0,0.0
JVKE,47305.4,0.0,0.0,0.0,0.0,0.0,21006.0,26299.4
NF,47159.0,16167.0,24417.0,4572.0,0.0,533.0,0.0,1470.0
Macklemore,46974.0,39530.0,3448.0,1049.0,0.0,31.25,1312.5,1603.25
GAYLE,46350.0,0.0,0.0,0.0,0.0,9106.0,37244.0,0.0
Rosa Linn,46253.0,0.0,0.0,0.0,0.0,0.0,28613.0,17640.0
Little Mix,45917.0,30507.0,11788.0,2018.0,1553.0,51.0,0.0,0.0
Yandel,45461.0,28290.0,2781.0,0.0,996.0,0.0,8.0,13386.0
Wham!,45144.0,6212.0,6802.0,7459.0,8605.0,7593.0,8473.0,0.0
BlocBoy JB,44989.0,0.0,41934.0,3055.0,0.0,0.0,0.0,0.0
John Legend,44974.0,12031.0,1213.0,4284.0,11361.0,12658.0,3342.0,85.0
A$AP Rocky,44776.0,4967.0,35952.0,3017.0,0.0,111.0,670.0,59.0
Meek Mill,43993.0,0.0,7464.0,35034.0,302.0,1193.0,0.0,0.0
Black Eyed Peas,43474.0,0.0,0.0,6983.0,24996.0,10655.0,712.0,128.0
P!nk,43303.0,21599.0,3380.0,11525.0,26.0,6114.0,0.0,659.0
