author,points_sum,points in 01/2017,points in 02/2017,points in 03/2017,points in 04/2017,points in 05/2017,points in 06/2017,points in 07/2017,points in 08/2017,points in 09/2017,points in 10/2017,points in 11/2017,points in 12/2017,points in 01/2018,points in 02/2018,points in 03/2018,points in 04/2018,points in 05/2018,points in 06/2018,points in 07/2018,points in 08/2018,points in 09/2018,points in 10/2018,points in 11/2018,points in 12/2018,points in 01/2019,points in 02/2019,points in 03/2019,points in 04/2019,points in 05/2019,points in 06/2019,points in 07/2019,points in 08/2019,points in 09/2019,points in 10/2019,points in 11/2019,points in 12/2019,points in 01/2020,points in 02/2020,points in 03/2020,points in 04/2020,points in 05/2020,points in 06/2020,points in 07/2020,points in 08/2020,points in 09/2020,points in 10/2020,points in 11/2020,points in 12/2020,points in 01/2021,points in 02/2021,points in 03/2021,points in 04/2021,points in 05/2021,points in 06/2021,points in 07/2021,points in 08/2021,points in 09/2021,points in 10/2021,points in 11/2021,points in 12/2021,points in 01/2022,points in 02/2022,points in 03/2022,points in 04/2022,points in 05/2022,points in 06/2022,points in 07/2022,points in 08/2022,points in 09/2022,points in 10/2022,points in 11/2022,points in 12/2022,points in 01/2023,points in 02/2023,points in 03/2023,points in 04/2023,points in 05/2023
Harry Styles,589001.0,0.0,0.0,0.0,4323.0,13220.0,5101.0,4018.0,2907.0,2040.0,1289.0,915.0,238.0,287.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3999.0,7979.0,23744.0,16869.0,11925.0,12377.0,11913.0,12029.0,13573.0,12652.0,13277.0,12920.0,13675.0,15542.0,11902.0,15341.0,13135.0,14411.0,11760.0,9288.0,7017.0,6002.0,5242.0,4582.0,4806.0,4921.0,3728.0,4494.0,3701.0,4147.0,17563.0,40763.0,48659.0,22950.0,16972.0,15129.0,13778.0,12058.0,10075.0,11846.0,10850.0,10880.0,8602.0,7576.0
Imagine Dragons,575616.5,7.0,3919.0,5436.0,5554.0,11139.0,16041.0,13401.0,11046.0,10161.0,10488.0,11222.0,10768.0,11649.0,10193.0,11087.0,9403.0,8560.0,9059.0,12084.0,14527.0,14645.0,13516.0,17011.0,13054.0,14949.0,10337.0,10960.0,9496.0,8476.0,7903.0,5375.0,4993.0,4232.0,4888.0,4219.0,2840.0,3189.0,2893.0,2711.0,3190.0,3015.0,3387.0,2814.0,2821.0,2878.0,2783.0,2361.0,1402.0,2676.0,2795.0,5467.0,5998.0,5753.0,4762.0,4937.0,2998.0,3149.0,3426.0,7761.0,7647.5,7869.0,5840.0,9369.0,10703.0,8609.0,8135.0,9123.0,9500.0,9366.0,9854.0,8130.0,6456.0,9147.0,7068.0,8265.0,7831.0,6900.0
J Balvin,557097.33333334,1199.0,954.0,3070.0,4769.0,5149.0,5922.0,10131.0,9517.0,8154.0,9301.0,9610.0,9522.0,9971.0,8552.0,11322.0,12021.0,11834.0,11672.0,12990.0,10590.0,8158.0,5844.0,4677.0,5476.0,6692.0,5640.0,6423.0,6206.0,5777.0,9367.0,15121.0,14218.0,12889.0,15494.0,16153.0,13067.0,17474.0,16536.0,24543.0,21102.0,18214.0,17040.0,13090.0,10418.0,9390.0,8219.0,8600.0,4285.0,4099.0,3371.0,3989.0,2720.0,678.0,3645.0,7014.0,7530.0,8514.0,7907.0,3628.0,1753.83333334,1368.0,1333.0,1602.0,1977.0,404.0,0.0,829.0,1541.0,1481.0,1456.0,1393.5,1080.0,736.0,386.0,297.0,0.0,2.0
Justin Bieber,541378.666666677,11121.0,7068.0,5538.0,5895.0,7167.0,5907.0,5475.0,7284.0,8748.0,7846.0,6876.0,8692.0,4473.0,2060.0,874.0,442.0,196.0,148.0,360.0,1525.0,1368.0,1024.0,1042.0,4386.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.0,4339.0,6004.0,20306.0,15345.0,11232.0,9203.0,7878.0,5619.0,4490.0,6266.0,12479.0,14509.0,15172.0,17058.0,13198.0,36740.0,27942.0,16734.0,10544.0,8994.0,7735.0,5576.0,9596.0,10196.0,13625.166666677,10056.0,9081.0,10585.0,10503.0,10302.0,8617.0,8641.0,8016.0,7381.0,6125.0,5486.0,8056.0,4168.0,2940.0,5938.0,4485.0,3921.5
Juice WRLD,524816.66666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4683.0,10152.0,12216.0,15486.0,14275.0,13852.0,14156.0,9014.0,9106.0,9400.0,22969.0,7869.0,6791.0,4881.0,2598.0,2346.0,2280.0,7609.0,8019.0,21333.0,13711.0,9920.0,7938.0,10332.0,13711.0,14430.0,51965.0,35789.0,27223.0,22010.0,17002.0,14496.0,19815.0,14579.0,11221.0,5705.0,3600.0,1862.0,1212.0,2053.0,130.0,207.0,3332.0,13029.66666666,1577.0,4422.0,2057.0,170.0,0.0,0.0,0.0,52.0,0.0,1354.0,371.0,251.0,136.0,0.0,119.0,0.0,0.0
Travis Scott,508986.33333335,1806.0,2683.0,3456.0,4980.0,5784.0,9554.0,10886.0,9955.0,8490.0,8435.0,8653.0,8352.0,6521.0,4565.0,4274.0,2885.0,5928.0,2701.0,964.0,43508.0,14246.0,10603.0,7671.0,6851.0,9476.0,5953.0,5121.0,4655.0,3952.0,3378.0,2856.0,3127.0,6858.0,12394.0,13417.0,12048.0,16304.0,10522.0,7242.0,14493.0,20596.0,17386.0,15550.0,15239.0,14027.0,14573.0,8265.0,5747.0,8882.0,9665.0,9465.0,8192.0,7212.0,4707.0,3567.0,3139.0,1609.0,1263.0,5107.0,238.0,352.0,71.0,119.0,61.0,0.0,0.0,116.0,167.0,0.0,0.0,1881.6666666699998,2805.0,299.0,0.0,941.0,1161.0,1036.66666668
Olivia Rodrigo,482187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0,596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6483.0,5665.0,6173.0,11429.0,31719.0,56936.0,49914.0,40522.0,32813.0,28888.0,20250.0,21443.0,22387.0,18601.0,21365.0,25123.0,17999.0,15166.0,16414.0,14765.0,10764.0,5579.0,308.0,156.0,130.0,0.0,0.0,0.0,0.0
Doja Cat,444118.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2747.0,1770.0,4797.0,5207.0,11221.0,14866.0,18897.0,14185.0,8027.0,5592.0,3655.0,1745.0,456.0,783.0,4375.0,5675.0,5839.0,9560.0,10914.0,17002.0,22950.0,29727.0,26524.0,25981.0,21400.0,19388.0,18720.0,16127.0,17929.0,14868.0,11178.0,15628.0,16012.0,12805.0,10485.0,8308.0,3388.5,1609.0,1770.0,984.0,282.0,742.0,0.0
Khalid,424924.5,0.0,813.0,3945.0,4974.0,6223.0,6458.0,9424.0,12750.0,14421.0,14820.0,14251.0,13050.0,12608.0,15676.0,16836.0,13216.0,13063.0,9810.0,6961.0,4838.0,7474.0,15544.0,11307.0,11177.0,14880.0,12639.0,17324.0,28995.0,15538.0,9223.0,7612.0,9113.0,7520.0,5335.0,6099.0,3865.0,5474.0,2778.0,1790.0,1818.0,1593.0,996.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.0,66.0,165.0,319.0,0.0,0.0,152.0,0.0,378.0,1564.0,1413.0,1640.0,1711.0,1385.0,2012.0,2438.0,2780.0,2536.0,2261.0,1628.0,1219.0,1827.0,1398.0,1487.0,1561.0,1433.5
Ozuna,418206.5,2846.0,3475.0,2826.0,3911.0,7414.0,8405.0,9344.0,10490.0,16577.0,18939.0,15892.0,12019.0,12485.0,12872.0,14196.0,10581.0,8108.0,9096.0,10415.0,10062.0,7719.0,5892.0,6812.0,5153.0,8548.0,7988.0,9648.0,9358.0,8105.0,9741.0,6607.0,6540.0,6373.0,7466.0,8583.0,5684.0,5124.0,2853.0,714.0,777.0,1648.0,4605.0,7156.0,7739.0,10460.0,9714.0,6481.0,3271.0,3893.0,2591.0,845.0,494.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,79.0,0.0,0.0,2147.0,5172.5,4572.0,5148.0,3968.0,3160.0,2485.0,2281.0
BTS,379629.499999977,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,4733.0,2338.0,803.0,2888.0,1736.0,0.0,0.0,37.0,7501.0,3441.0,196.0,3484.0,715.0,0.0,0.0,0.0,0.0,0.0,0.0,11824.0,5425.0,5483.0,3568.0,2686.0,1189.0,2525.0,2785.0,101.0,2624.0,16892.0,4572.0,0.0,0.0,1256.0,684.0,3525.0,6530.0,6417.0,16795.0,11311.0,9948.0,8211.0,7789.0,9254.0,10783.0,12011.0,15957.0,16095.0,15441.0,15215.0,11939.0,10272.66666666,11014.0,8605.0,9716.0,9742.0,6324.0,17939.0,10261.0,7361.0,4931.0,3666.0,3519.33333333,3140.0,2472.0,1576.0,567.0,37.0,1680.499999987
Eminem,371151.0,1581.0,2391.0,371.0,136.0,182.0,62.0,270.0,998.0,684.0,1860.0,5087.0,15831.0,6799.0,6263.0,5595.0,4050.0,2289.0,576.0,31.0,2217.0,40297.0,15947.0,5488.0,1427.0,1109.0,10.0,5.0,0.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21244.0,8072.0,5505.0,4937.0,4419.0,3927.0,3012.0,2519.0,2012.0,1176.0,726.0,2441.0,1965.0,1334.0,1025.0,875.0,718.0,666.0,89.0,366.0,1063.0,3187.0,1560.0,1740.0,6748.0,16544.0,18357.0,14576.0,9281.0,6469.0,5820.0,6268.0,5757.0,9634.0,11878.5,9946.0,14185.0,11466.0,10513.0,9625.0,7260.5
Lewis Capaldi,361255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.0,3661.0,4470.0,4403.0,8193.0,6933.0,5811.0,6219.0,6374.0,9292.0,11265.0,11550.0,13761.0,13203.0,12739.0,12585.0,11754.0,11624.0,10896.0,10699.0,10519.0,10505.0,9675.0,8658.0,9996.0,8977.0,9371.0,8746.0,8222.0,7230.0,7251.0,6972.0,6214.0,6805.0,5858.0,4407.0,5586.0,4107.0,3613.0,2875.0,2070.0,1735.0,2368.0,2759.0,5737.0,5012.0,2667.0,911.0,3001.0,2524.0,3181.0,3823.0,3018.0
Lil Nas X,360951.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3435.0,11062.0,12164.0,14529.0,20031.0,13154.0,12827.0,10827.0,6683.0,4093.0,2913.0,1763.0,1157.0,1076.0,719.0,715.0,317.0,0.0,0.0,0.0,2743.0,5211.0,5284.0,3821.0,3443.0,9094.0,8083.0,6891.0,7816.0,12064.0,22975.0,17623.0,16303.0,14798.0,13515.0,12370.0,13414.0,12462.0,10264.0,9126.0,7555.0,5179.0,4458.0,6407.0,4773.5,2889.0,3605.0,1314.0,6.0,0.0,0.0
Shawn Mendes,331503.5,11966.0,8093.0,6382.0,7017.0,9453.0,8835.0,9257.0,8331.0,6639.0,5578.0,4177.0,3460.0,3267.0,1925.0,5307.0,8799.0,17534.0,13224.0,5032.0,2533.0,1651.0,2141.0,767.0,339.0,1401.0,2867.0,3109.0,1731.0,7668.0,7746.0,9721.0,8651.0,7180.0,6683.0,5697.0,4126.0,3994.0,3261.0,2770.0,2834.0,2503.0,2414.0,2253.0,2175.0,1982.0,7498.0,8703.0,12665.0,11191.0,7519.0,4851.0,2489.0,1254.0,1187.0,1754.0,2905.0,4187.0,2013.0,279.0,3001.5,4456.0,2498.0,469.0,6351.0,2837.0,77.0,262.0,270.0,233.0,43.0,0.0,36.0,2.0,0.0,0.0,0.0,0.0
Camila Cabello,314065.5,0.0,0.0,0.0,0.0,1804.0,4697.0,5146.0,9475.0,8381.0,4470.0,4110.0,9914.0,21122.0,15429.0,13932.0,9663.0,9406.0,7196.0,5366.0,4505.0,3576.0,3965.0,3165.0,2361.0,2919.0,1794.0,1810.0,1085.0,681.0,2007.0,4395.0,4397.0,10879.0,12805.0,10156.0,11003.0,10287.0,7730.0,7259.0,6336.0,4266.0,2517.0,2253.0,2175.0,1982.0,2023.0,1610.0,1256.0,1721.0,1576.0,1594.0,1581.0,1241.0,1187.0,2745.0,5895.0,4999.0,5226.0,2204.0,160.5,152.0,122.0,2855.0,3907.0,2909.0,2730.0,2756.0,2598.0,2179.0,1699.0,533.0,143.0,45.0,0.0,0.0,0.0,0.0
Maroon 5,311603.0,2979.0,3520.0,4869.0,4434.0,3345.0,1931.0,933.0,257.0,5517.0,8399.0,9004.0,8328.0,8308.0,5084.0,6663.0,2785.0,1887.0,7252.0,7011.0,7043.0,6799.0,7330.0,5802.0,5282.0,5521.0,4515.0,4547.0,3826.0,3663.0,3371.0,3085.0,2946.0,4298.0,8586.0,8433.0,8032.0,7916.0,6721.0,5813.0,5450.0,4834.0,4727.0,5437.0,7641.0,4807.0,4041.0,3380.0,2800.0,3778.0,3024.0,6325.0,7844.0,7692.0,7665.0,6626.0,5260.0,2681.0,1442.0,501.0,175.5,687.0,647.0,1051.0,1681.0,1191.0,820.0,957.0,783.0,645.0,480.0,181.5,26.0,249.0,4.0,26.0,9.0,0.0
KAROL G,300632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,828.0,440.0,0.0,0.0,0.0,1.0,0.0,119.0,59.0,3166.0,4395.0,1627.0,1081.0,1699.0,1808.0,1209.0,3640.0,4074.0,4025.0,2890.0,3117.0,1802.0,1428.0,1722.0,1171.0,1168.0,2913.0,3979.0,4047.0,3650.0,3569.0,3690.0,2956.0,2933.0,3763.0,7753.0,8364.0,8124.0,10754.0,10855.0,10640.0,7630.0,7060.0,6077.0,4442.0,2812.0,2915.0,3225.0,3710.0,5500.0,2796.0,1496.5,1560.0,2740.0,3998.0,4827.0,8600.0,8269.0,8324.0,8448.0,9145.0,7873.0,6191.0,4813.0,4690.0,9530.0,15553.0,10421.0,8122.5
Kendrick Lamar,294056.0,4334.0,2666.0,3563.0,42870.0,31724.0,18672.0,17315.0,15901.0,13106.0,10605.0,7983.0,8053.0,15412.0,19085.0,13382.0,9224.0,7927.0,6407.0,4754.0,3408.0,2007.0,1259.0,528.0,615.0,1266.0,152.0,33.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,376.0,488.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,956.0,1007.0,50.0,82.0,20967.0,3906.0,253.0,0.0,11.0,28.0,34.0,0.0,2.0,57.0,139.0,650.0,2379.0
Maluma,291806.0,2184.0,589.0,1.0,1327.0,6968.0,5167.0,5529.0,5407.0,4822.0,4574.0,5769.0,6234.0,5802.0,4138.0,5259.0,5724.0,7389.0,7537.0,6395.0,6971.0,7806.0,7540.0,5733.0,2972.0,2622.0,1292.0,6035.0,5924.0,7992.0,9811.0,9414.0,8265.0,5818.0,5437.0,3879.0,1043.0,549.0,35.0,0.0,71.0,0.0,33.0,137.0,6283.0,9558.0,9477.0,10321.0,8333.0,8102.0,6151.0,4781.0,3559.0,3065.0,2076.0,4209.0,5978.0,4716.0,4619.0,3593.0,2687.0,2485.0,1320.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Rauw Alejandro,291694.333333323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,434.0,684.0,700.0,500.0,80.0,0.0,0.0,11.0,44.0,0.0,0.0,0.0,0.0,258.0,2323.0,2593.0,2451.0,2543.0,3056.0,5838.0,6827.0,6894.0,6618.0,7700.0,6909.0,5869.0,6645.0,9005.0,6624.0,7100.0,4381.0,3527.0,2823.0,6088.0,10115.0,10390.0,13361.0,12651.0,13674.0,10111.0,9033.999999993,10134.0,8678.0,7538.0,6204.0,8510.0,8953.0,8502.0,8165.0,7516.0,7916.0,6151.83333333,3786.0,3643.0,941.0,1473.0,2974.0,2676.5
Calvin Harris,274675.0,13532.0,9915.0,12576.0,13999.0,11312.0,14599.0,18474.0,12922.0,8497.0,6031.0,4147.0,3021.0,2905.0,1702.0,201.0,4832.0,6134.0,5886.0,5930.0,6981.0,7770.0,7469.0,6039.0,5315.0,9783.0,9325.0,9804.0,7680.0,5807.0,4179.0,1670.0,316.0,0.0,3.0,0.0,175.0,196.0,9.0,0.0,22.0,0.0,0.0,0.0,710.0,2911.0,9.0,0.0,56.0,19.0,0.0,0.0,0.0,0.0,2421.0,2773.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,3890.0,3623.0,2924.0,2037.0,1523.0,829.5,370.0,946.0,2059.0,2743.0,2723.0,2321.5
Sam Smith,274009.0,148.0,377.0,48.0,0.0,0.0,0.0,0.0,0.0,5170.0,10264.0,18888.0,7765.0,5645.0,4675.0,4341.0,3444.0,2942.0,2563.0,2643.0,2399.0,2062.0,2339.0,2156.0,4827.0,9543.0,8176.0,8031.0,7048.0,6294.0,5269.0,7585.0,11069.0,9960.0,9966.0,8729.0,9658.0,6586.0,7880.0,6799.0,5135.0,3954.0,870.0,188.0,1948.0,1917.0,3792.0,3569.0,1807.0,576.0,15.0,0.0,0.0,0.0,0.0,0.0,1224.0,4037.0,2895.0,326.0,1253.0,0.0,0.0,0.0,93.0,34.0,0.0,0.0,878.0,4033.0,6168.0,4334.5,4089.0,4061.0,3660.0,2904.0,2621.0,2338.5
