author,points_sum,points in 01/2017,points in 02/2017,points in 03/2017,points in 04/2017,points in 05/2017,points in 06/2017,points in 07/2017,points in 08/2017,points in 09/2017,points in 10/2017,points in 11/2017,points in 12/2017,points in 01/2018,points in 02/2018,points in 03/2018,points in 04/2018,points in 05/2018,points in 06/2018,points in 07/2018,points in 08/2018,points in 09/2018,points in 10/2018,points in 11/2018,points in 12/2018,points in 01/2019,points in 02/2019,points in 03/2019,points in 04/2019,points in 05/2019,points in 06/2019,points in 07/2019,points in 08/2019,points in 09/2019,points in 10/2019,points in 11/2019,points in 12/2019,points in 01/2020,points in 02/2020,points in 03/2020,points in 04/2020,points in 05/2020,points in 06/2020,points in 07/2020,points in 08/2020,points in 09/2020,points in 10/2020,points in 11/2020,points in 12/2020,points in 01/2021,points in 02/2021,points in 03/2021,points in 04/2021,points in 05/2021,points in 06/2021,points in 07/2021,points in 08/2021,points in 09/2021,points in 10/2021,points in 11/2021,points in 12/2021,points in 01/2022,points in 02/2022,points in 03/2022,points in 04/2022,points in 05/2022,points in 06/2022,points in 07/2022,points in 08/2022,points in 09/2022,points in 10/2022,points in 11/2022,points in 12/2022,points in 01/2023,points in 02/2023,points in 03/2023,points in 04/2023,points in 05/2023
Anglo-America,0.5475520565568934,0.5575685297883162,0.5724038754315104,0.5296090959142649,0.5866267834926013,0.5834586388905063,0.5547936170759492,0.5485009243629934,0.5527397447152723,0.5632482416993783,0.5646182734436438,0.5461242537697707,0.5604910707155885,0.5508909200611063,0.5798443413828029,0.6096574213603326,0.6135023140049115,0.6087850329306338,0.6302814624172304,0.6237462487763388,0.6205989630554402,0.6315526064591398,0.640948483389504,0.606526602422186,0.6212782699190293,0.5851696363662624,0.5946527465615788,0.5939337432921663,0.6060207557370144,0.5897663460658866,0.5485860135088132,0.5360866767132565,0.5654930131263671,0.6129503561389398,0.5876667292427808,0.5697189356960951,0.5887006728062223,0.615095587302963,0.587292977445899,0.578016972980607,0.6115176509019877,0.6148401218302785,0.6054115368286987,0.6325133301990183,0.6092821722594002,0.5755653827723032,0.5391157281266749,0.5293414583202098,0.5652100803010257,0.5248733864393507,0.5175452307451839,0.5329833546734956,0.5427854338489104,0.512228317102134,0.507112843043534,0.4579779545630082,0.45862818745096684,0.5123437394797675,0.4513833374681846,0.48582427557908203,0.5415935237879856,0.5323716842087174,0.5279438618458809,0.51259858787312,0.5078196120347989,0.4445945127104455,0.43325818199836486,0.4296392387448055,0.4222861230191686,0.40558984734958714,0.4651226437138495,0.5331440022112854,0.5693554772837329,0.4781064440923786,0.46465151225815204,0.4463950659761692,0.42803943698385627,0.4272229656316806
Europe,0.22633203911880256,0.3235635968233874,0.29745881161749005,0.35426723089333045,0.2928220213357334,0.2781612108798334,0.28249492501006435,0.2925343621895346,0.2852541211326514,0.2715535898188548,0.27773997335858386,0.2890672495872271,0.26294514662808116,0.24295865052569418,0.22467793237024006,0.20106334663720238,0.2054978965852882,0.19263136947786008,0.17779244447613632,0.18296182177073805,0.18858526550241744,0.19453816884976402,0.19971914620446157,0.23326185844655717,0.23275725309033682,0.2372534009920931,0.23826335081045644,0.22886550953860374,0.19511487295485677,0.21579968576522907,0.24396856998048874,0.2588473383758869,0.2129636316656957,0.17810097927843516,0.20795005463376126,0.23422080592105263,0.2405290197388303,0.17969385740631064,0.1704707426375345,0.15084704417211783,0.17614752834309194,0.16475330652382528,0.18486321906177033,0.18044829262735293,0.18844221911960585,0.18959951051838292,0.1962397424911987,0.19353758524771153,0.18934195038532436,0.20750020861549917,0.2217310062841695,0.2322935339308579,0.24590096440146506,0.25334678946983036,0.24398390622895158,0.23383043014295013,0.20848393755826988,0.18631832740726967,0.24541261221526955,0.2778716391384325,0.2431197194248811,0.2165288455679828,0.2276482148136554,0.2359153985544388,0.2319733794877578,0.2093547985878346,0.24569861837161097,0.22551657288004376,0.2462911668082832,0.26985886413004817,0.26300778786782714,0.20970204532890163,0.21012566781235162,0.2141488594355784,0.21982220905516658,0.19721946662765066,0.18266204612913972,0.18560988162654957
Latin-America,0.1756227133008222,0.07886844735965205,0.09477088217059382,0.08250854662552336,0.09340670249093364,0.11100588108359907,0.12197106613332877,0.13067277550036172,0.1416632828787823,0.13339535685915518,0.12821422266446258,0.14123310288924398,0.15197990232247638,0.17571440491931653,0.17214847984078754,0.1712427803641954,0.15827594612207266,0.15533566137294424,0.14736604707236303,0.15987514643814293,0.15155886690298262,0.13901336373760406,0.12234312309420639,0.12244095859265781,0.11536411401883392,0.14652390283200695,0.13631800664853216,0.1515665519808971,0.14684567854146008,0.15736614128367632,0.1707284755049242,0.1758137176073709,0.19274206102741628,0.1792751183674823,0.17024714356083762,0.16990197898981324,0.14947432043390435,0.17549992536630699,0.1865705480846724,0.23787369123811603,0.18285833677413577,0.18404203080418896,0.16790490341753342,0.14590129475023628,0.15872931811981447,0.1831311237018871,0.17945545746002098,0.1970370100225117,0.184240249501093,0.20720814691666292,0.2023953733734516,0.18749039692701663,0.1637621538299386,0.17604351383445768,0.18105167827389598,0.22315921546869016,0.2316802636274878,0.2044347689476401,0.19926154618935168,0.15344816858670318,0.1344211435877061,0.17474038442009684,0.16819185753291246,0.17843044794102944,0.195729735118712,0.28781321656711134,0.2591366680705927,0.27804721215397854,0.26468211487101695,0.21923788946369693,0.19176944326187786,0.18942205638467646,0.16115986012022593,0.22231345878897948,0.24083873351168347,0.2907163884900646,0.2956133067503269,0.3033270429459915
Asia,0.022846272134328608,0.0036160195405359296,0.0033805472707996286,0.0023575242314438994,0.002423763136299865,0.0024336108894239825,0.0020180044368688383,0.0018857005063901615,0.0016370578539455503,0.00924216870067347,0.00502816607552681,0.0055097288156989895,0.010240488579267962,0.0073975891240997725,0.005732359578513425,0.006255546622117161,0.01078155495160571,0.023685342337368888,0.021811554668183453,0.013788455057532137,0.015636007105525398,0.00783694384048364,0.006061627347135291,0.010081109900515582,0.008763357616062136,0.006099880120745851,0.0029422686383656907,0.002360579762240994,0.031438739399085265,0.01716094180558208,0.014514189554023659,0.009281058968346823,0.005525624421237785,0.004112803588752809,0.0062191030436059246,0.004899392508488964,0.003370393345103466,0.008497005824638106,0.029398528790230263,0.010616137170442363,0.004123988279714853,0.01081741184475305,0.009396226915729144,0.01128995248784918,0.017675284451077623,0.028937781779411594,0.05917343012378009,0.05477569532625381,0.02617635767745702,0.02004313526628966,0.01617756242428979,0.013145006402048656,0.015539774972991489,0.026681990531888813,0.03382515958249681,0.03692996877448114,0.04402648223643147,0.048239975120151074,0.05361983258446582,0.03735735333298235,0.03476593754486967,0.039854330936240884,0.04172970904853829,0.043880967513511726,0.03251729565144911,0.028498442089418007,0.03787792450181272,0.04447853251394003,0.04189449327681473,0.07664946654247724,0.053734047354589656,0.042955500276314305,0.03414971930981288,0.05460669526128006,0.04708907929561805,0.04654587783596236,0.07444733366147768,0.0667173900611476
Oceania,0.02245368169563455,0.033390783614393287,0.029186797706437163,0.027717314759093992,0.019323927257325887,0.01834884382075197,0.03186151487378907,0.01922996543686199,0.012184846301131978,0.01633341459410246,0.01848529104944711,0.012693803922089743,0.009550549236435186,0.01831264361913809,0.013394459548305702,0.00778813949644294,0.008426924371587237,0.01545910310562196,0.019149991128121532,0.01639625760274742,0.0213791587301842,0.021837049901893196,0.021025517573423205,0.01968627333920389,0.0177377084549585,0.01928338845853253,0.02422752122750879,0.02250173312450253,0.020090744161827087,0.019906885079625937,0.02206527824246299,0.019526654758408403,0.023266040439931503,0.02505990928614665,0.023830267905994632,0.020943866723259763,0.015919899476706273,0.01747230929486408,0.02381176454483699,0.02238777226419818,0.025352495701069715,0.025547128996954244,0.03242411377626831,0.029009529708332198,0.024354468569961325,0.019388579093895242,0.020877660854746936,0.023078631792879143,0.03492031765067943,0.04037512276219759,0.042147274787656175,0.034087708066581304,0.031991910621591,0.031325312711910275,0.03353464072230455,0.047784028485995805,0.056791222059935635,0.037558632762528896,0.032380479826520016,0.020380944176155172,0.02520204737141515,0.016486975867116817,0.020413558025077824,0.019805103149607543,0.025512413807756363,0.023957060986538506,0.01995887322547878,0.014240744236041575,0.013316755397030373,0.012389714336763983,0.014773902160309082,0.016901050304029542,0.017884042380353737,0.02062966111518992,0.01912118232227598,0.011886482723359921,0.012126425066250354,0.00997340881796318
Africa,0.0049425576865693216,0.0029926228737151414,0.002799085803168873,0.0035402875763434526,0.005396802287105911,0.006591814435885228,0.006860872469999743,0.007176272003858211,0.006520947118216442,0.006227228327835794,0.005914073408335874,0.00537186101596941,0.004792842518150835,0.004725791750645083,0.004202427279350356,0.003992765519709465,0.0035153639645346207,0.0027329858391855286,0.002155783552698129,0.0020541460048465006,0.0010831593592189699,0.0032431590390836294,0.008139945434119724,0.006855619070362134,0.00360274894027464,0.005100083931525997,0.003542804145471731,0.0005311705651269674,6.633345162798874e-05,0.0,0.00013747320928722627,0.0004445535767304288,9.629319351561634e-06,0.0005008333402432856,0.004086701613019683,0.00015751008064516129,0.002005694199233351,0.0037413148049171567,0.002455438496826752,0.000258382174518703,0.0,0.0,0.0,0.0008376002272110962,0.0015165374801405806,0.003377622134119953,0.0051379809435784865,0.0022296192904340214,0.00011104448442045884,0.0,3.5523852490754916e-06,0.0,1.9762325103422835e-05,0.000374076349778897,0.0004917721488170688,0.0003184025648745226,0.00038990706690836713,0.011104556282642779,0.01794219171620831,0.025117619186644777,0.0208976282831424,0.02001777899984533,0.014072798733935061,0.009369494968292594,0.006447563899525871,0.005781969058652065,0.0040697338321399965,0.008077699471190605,0.011529346627686114,0.016274218177426532,0.011592175641546819,0.00787534549479256,0.00732523309352291,0.00998718394579904,0.007402899409445657,0.005056538369399019,0.005245337615782749,0.004995139246295024
Unknown,0.0002506795069494593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013705049363854618,0.0014427166852672094,0.0011779243496541653,0.0011585793442312538,0.0019787081720316064,0.001762156957149735,0.001147578228517319,0.0004965479605046069,0.0005697072988331432,5.3301968086334976e-05,0.00024071173646237194,0.0004228757541284282,0.0,0.0,0.0,0.0,0.0,0.0,0.00015751008064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020769736079446656,0.0010743841476582173,0.002180179977394299,0.0018661137931663112,0.00215417167037255
