author,points_sum,points in 2017,points in 2018,points in 2019,points in 2020,points in 2021,points in 2022,points in 2023
Anglo-America,0.5475520565568934,0.5597406506736049,0.61163942106796,0.5814266289268178,0.5886710137315245,0.5032878299004493,0.482044446123879,0.4489619670174096
Europe,0.22633203911880248,0.29248187972130185,0.20628473948289663,0.2243486029015743,0.18036495306910372,0.2334263096874219,0.23253658877809855,0.19977107894937035
Latin-America,0.1756227133008222,0.11765936792681779,0.14908293824117647,0.1623887499480816,0.18190621477501556,0.1886985942358985,0.2141464612760229,0.2706049293395962
Asia,0.022846272134328615,0.0041652840168988695,0.011517887765915369,0.008987567502422291,0.022523219047187206,0.03197197750456025,0.04311437759208976,0.0578863759083815
Oceania,0.02245368169563455,0.02059652876489341,0.016738536881190782,0.021350613590294765,0.02489898579196456,0.03610132314820109,0.0179544292613953,0.01473420038351671
Africa,0.0049425576865693216,0.0053562888964831445,0.003854590836748479,0.0013773183690338957,0.0016356135852044307,0.006513965523468923,0.010203696968514597,0.006546749587552596
Unknown,0.0002506795069494593,0.0,0.0008818857241123243,0.0001205187617752618,0.0,0.0,0.0,0.0014946988141729392
